"","human","cell_type1","total_features","log10_total_features","total_counts","log10_total_counts","pct_counts_top_50_features","pct_counts_top_100_features","pct_counts_top_200_features","pct_counts_top_500_features","total_features_endogenous","log10_total_features_endogenous","total_counts_endogenous","log10_total_counts_endogenous","pct_counts_endogenous","pct_counts_top_50_features_endogenous","pct_counts_top_100_features_endogenous","pct_counts_top_200_features_endogenous","pct_counts_top_500_features_endogenous","total_features_feature_control","log10_total_features_feature_control","total_counts_feature_control","log10_total_counts_feature_control","pct_counts_feature_control","total_features_ERCC","log10_total_features_ERCC","total_counts_ERCC","log10_total_counts_ERCC","pct_counts_ERCC","is_cell_control"
"human1_lib1.final_cell_0001",1,"acinar",3526,3.54740545966749,22412,4.3504999911288,50.7763698018918,59.936641085133,68.757808316973,77.7752989469927,3526,3.54740545966749,22412,4.3504999911288,100,50.7763698018918,59.936641085133,68.757808316973,77.7752989469927,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0002",1,"acinar",4201,3.62345604806993,27953,4.44644396083186,47.3473330232891,57.5787929739205,66.6296998533252,75.6555646978857,4201,3.62345604806993,27953,4.44644396083186,100,47.3473330232891,57.5787929739205,66.6296998533252,75.6555646978857,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0003",1,"acinar",2119,3.32633586092875,16895,4.22778390085372,64.5693992305416,74.8801420538621,81.8230245634803,88.227286179343,2119,3.32633586092875,16895,4.22778390085372,100,64.5693992305416,74.8801420538621,81.8230245634803,88.227286179343,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0004",1,"acinar",2956,3.47085132452612,19300,4.28557981072959,53.2176165803109,63.8186528497409,72.4455958549223,81.0984455958549,2956,3.47085132452612,19300,4.28557981072959,100,53.2176165803109,63.8186528497409,72.4455958549223,81.0984455958549,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0005",1,"acinar",2715,3.43392976560846,15067,4.17805561153123,51.4435521338023,62.4012743080905,70.8170173226256,79.6973518284994,2715,3.43392976560846,15067,4.17805561153123,100,51.4435521338023,62.4012743080905,70.8170173226256,79.6973518284994,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0006",1,"acinar",2477,3.39410130204004,15747,4.19722540611819,54.2579538959802,66.0824283990601,74.1792087381723,82.6062107068013,2477,3.39410130204004,15747,4.19722540611819,100,54.2579538959802,66.0824283990601,74.1792087381723,82.6062107068013,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0007",1,"beta",3843,3.58478337899651,14947,4.1745830891776,37.5593764635044,44.5841974978256,52.1375526861578,63.571285207734,3843,3.58478337899651,14947,4.1745830891776,100,37.5593764635044,44.5841974978256,52.1375526861578,63.571285207734,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0008",1,"acinar",2656,3.42439155441028,17907,4.25304708571141,58.7256380186519,68.6044563578489,76.243926955939,83.721449712403,2656,3.42439155441028,17907,4.25304708571141,100,58.7256380186519,68.6044563578489,76.243926955939,83.721449712403,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0009",1,"acinar",3272,3.514946005308,16808,4.22554187718723,43.6339838172299,54.1765825797239,63.6304140885293,74.363398381723,3272,3.514946005308,16808,4.22554187718723,100,43.6339838172299,54.1765825797239,63.6304140885293,74.363398381723,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0010",1,"acinar",3274,3.5152113043278,18828,4.2748272554381,49.707881878054,59.5920968769917,68.0316549819418,77.671553006161,3274,3.5152113043278,18828,4.2748272554381,100,49.707881878054,59.5920968769917,68.0316549819418,77.671553006161,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0011",1,"acinar",3133,3.49609899213257,17164,4.23464380776177,47.0461430901888,56.9564204148217,66.5462596131438,76.4390584945234,3133,3.49609899213257,17164,4.23464380776177,100,47.0461430901888,56.9564204148217,66.5462596131438,76.4390584945234,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0012",1,"acinar",2274,3.35698140099313,18663,4.2710047257857,63.398167497187,73.2090232009859,80.8926753469432,87.6225687188555,2274,3.35698140099313,18663,4.2710047257857,100,63.398167497187,73.2090232009859,80.8926753469432,87.6225687188555,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0013",1,"delta",2357,3.37254380075907,8338,3.92111397383668,48.8966178939794,54.3175821539938,60.9858479251619,72.5953466059007,2357,3.37254380075907,8338,3.92111397383668,100,48.8966178939794,54.3175821539938,60.9858479251619,72.5953466059007,0,0,0,0,0,0,0,0,0,0,FALSE
"human1_lib1.final_cell_0014",1,"delta",2191,3.34084054981233,8155,3.9114772171061,51.4040465971796,57.2532188841202,64.2182709993869,75.1931330472103,2191,3.34084054981233,8155,3.9114772171061,100,51.4040465971796,57.2532188841202,64.2182709993869,75.1931330472103,0,0,0,0,0,0,0,0,0,0,FALSE
