cells,sc3-00,Monocle-00,Seurat-00,sc3-05,Monocle-05,Seurat-05,sc3-10,Monocle-10,Seurat-10,sc3-15,Monocle-15,Seurat-15,sc3-20,Monocle-20,Seurat-20,sc3-25,Monocle-25,Seurat-25,sc3-30,Monocle-30,Seurat-30,sc3-35,Monocle-35,Seurat-35,sc3-40,Monocle-40,Seurat-40,sc3-45,Monocle-45,Seurat-45,sc3-50,Monocle-50,Seurat-50,sc3-55,Monocle-55,Seurat-55,sc3-60,Monocle-60,Seurat-60,sc3-65,Monocle-65,Seurat-65,sc3-70,Monocle-70,Seurat-70,sc3-75,Monocle-75,Seurat-75,sc3-80,Monocle-80,Seurat-80,sc3-85,Monocle-85,Seurat-85,sc3-90,Monocle-90,Seurat-90,sc3-95,Monocle-95,Seurat-95,sc3-100,Monocle-100,Seurat-100
human1_lib1.final_cell_0001,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,27,15,2,27,15,2,27,15,2,27,15,2,27,15,2,27,15,2
human1_lib1.final_cell_0002,24,15,17,24,15,17,24,15,17,24,15,17,24,15,17,24,15,17,24,15,17,24,15,17,24,15,17,24,15,17,24,15,17,24,15,17,24,15,17,24,15,17,24,15,17,24,15,2,24,15,2,24,15,2,24,15,2,24,15,2,24,15,2
human1_lib1.final_cell_0003,28,24,17,28,24,17,28,24,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,27,15,2,27,15,2,27,15,2,27,15,2,27,15,2,27,15,2
human1_lib1.final_cell_0004,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,27,15,2,27,15,2,27,15,2,27,15,2,27,15,2,27,15,2
human1_lib1.final_cell_0005,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,27,15,2,27,15,2,27,15,2,27,15,2,27,15,2,27,15,2
human1_lib1.final_cell_0006,24,15,17,24,15,17,24,15,17,24,15,17,24,15,17,24,15,17,24,15,17,24,15,17,24,15,17,24,15,17,24,15,17,24,15,17,24,15,17,24,15,17,24,15,17,24,15,2,24,15,2,24,15,2,24,15,2,24,15,2,24,15,2
human1_lib1.final_cell_0007,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3
human1_lib1.final_cell_0008,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,27,15,2,27,15,2,27,15,2,27,15,2,27,15,2,27,15,2
human1_lib1.final_cell_0009,24,15,17,24,15,17,24,15,17,24,15,17,24,15,17,24,15,17,24,15,17,24,15,17,24,15,17,24,15,17,24,15,17,24,15,17,24,15,17,24,15,17,24,15,17,24,15,2,24,15,2,24,15,2,24,15,2,24,15,2,24,15,2
human1_lib1.final_cell_0010,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,27,15,2,27,15,2,27,15,2,27,15,2,27,15,2,27,15,2
human1_lib1.final_cell_0011,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,27,15,2,27,15,2,27,15,2,27,15,2,27,15,2,27,15,2
human1_lib1.final_cell_0012,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,27,15,2,27,15,2,27,15,2,27,15,2,27,15,2,27,15,2
human1_lib1.final_cell_0013,26,3,5,26,3,5,26,3,5,26,3,5,26,3,5,26,3,5,26,3,5,26,3,5,26,3,5,26,3,5,26,3,5,26,3,5,26,3,5,26,3,5,26,3,5,26,3,5,26,3,5,26,3,5,26,3,5,26,3,5,20,3,5
human1_lib1.final_cell_0014,26,3,5,26,3,5,26,3,5,26,3,5,26,3,5,26,3,5,26,3,5,26,3,5,26,3,5,26,3,5,26,3,5,26,3,5,26,3,5,26,3,5,26,3,5,26,3,5,26,3,5,26,3,5,26,3,5,26,3,5,20,3,5
human1_lib1.final_cell_0015,21,1,19,21,1,19,21,1,19,21,1,19,21,1,19,21,1,19,21,1,19,21,1,19,21,1,19,21,1,19,21,1,19,21,1,19,21,1,19,21,1,19,21,1,19,21,1,19,21,1,19,21,1,19,21,1,19,21,1,19,21,1,19
human1_lib1.final_cell_0016,23,9,12,23,9,12,23,9,12,23,9,12,23,9,12,23,9,12,23,9,12,23,9,12,23,9,12,23,9,12,23,9,12,23,9,12,23,9,12,23,9,12,23,9,12,23,9,12,23,9,12,23,9,12,23,9,12,23,9,12,23,9,12
human1_lib1.final_cell_0017,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3,7,13,3
human1_lib1.final_cell_0018,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,28,15,17,27,15,2,27,15,2,27,15,2,27,15,2,27,15,2,27,15,2
human1_lib1.final_cell_0019,16,23,10,16,23,10,16,23,10,16,23,10,16,23,10,16,23,10,16,23,10,16,23,10,16,23,10,16,23,10,16,23,10,16,23,10,16,23,10,16,23,10,16,23,10,16,23,10,16,23,10,16,23,10,16,23,10,16,23,10,16,23,10
human1_lib1.final_cell_0020,7,4,3,7,4,3,7,4,3,7,4,3,7,4,3,7,4,3,7,4,3,7,4,3,7,4,3,7,4,3,7,4,3,7,4,3,7,4,3,7,4,3,7,4,3,7,4,3,7,4,3,7,2,3,7,2,3,7,2,3,7,2,3
