cells,sc3-Initial,Monocle-Initial,Seurat-Initial,sc3-33,Monocle-33,Seurat-33,sc3-66,Monocle-66,Seurat-66,sc3-90,Monocle-90,Seurat-90,sc3-Final,Monocle-Final,Seurat-Final
human1_lib1.final_cell_0001,6,28,2,6,28,2,4,17,2,3,17,2,1,17,2
human1_lib1.final_cell_0002,3,28,2,3,28,2,3,17,2,3,17,2,1,17,2
human1_lib1.final_cell_0003,4,21,2,4,21,2,4,17,2,3,17,2,1,17,2
human1_lib1.final_cell_0004,4,28,2,4,28,2,4,17,2,3,17,2,1,17,2
human1_lib1.final_cell_0005,6,28,2,6,28,2,4,17,2,3,17,2,1,17,2
human1_lib1.final_cell_0006,3,28,2,3,28,2,3,17,2,3,17,2,1,17,2
human1_lib1.final_cell_0007,9,1,4,9,1,4,9,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0008,4,28,2,4,28,2,4,17,2,3,17,2,1,17,2
human1_lib1.final_cell_0009,5,28,17,5,28,17,4,17,2,3,17,2,1,17,2
human1_lib1.final_cell_0010,6,28,2,6,28,2,4,17,2,3,17,2,1,17,2
human1_lib1.final_cell_0011,3,28,2,3,28,2,3,17,2,3,17,2,1,17,2
human1_lib1.final_cell_0012,4,21,2,4,21,2,4,17,2,3,17,2,1,17,2
human1_lib1.final_cell_0013,41,4,5,41,4,5,41,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0014,41,4,5,41,4,5,41,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0015,59,2,20,59,2,20,59,2,20,59,2,20,59,2,20
human1_lib1.final_cell_0016,33,20,13,33,20,13,33,20,13,33,20,13,2,15,13
human1_lib1.final_cell_0017,9,6,4,9,6,4,9,6,4,9,6,4,9,6,4
human1_lib1.final_cell_0018,5,28,2,5,28,2,4,17,2,3,17,2,1,17,2
human1_lib1.final_cell_0019,46,26,8,46,26,8,46,26,8,16,26,8,16,26,8
human1_lib1.final_cell_0020,10,6,4,10,6,4,10,6,4,9,6,4,9,6,4
human1_lib1.final_cell_0021,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0022,50,23,7,50,23,7,50,23,7,50,23,7,28,23,7
human1_lib1.final_cell_0023,46,26,8,46,26,8,46,26,8,16,26,8,16,26,8
human1_lib1.final_cell_0024,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0025,41,4,5,41,4,5,41,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0026,50,23,7,50,23,7,50,23,7,50,23,7,28,23,7
human1_lib1.final_cell_0027,10,6,4,10,6,4,10,6,4,9,6,4,9,6,4
human1_lib1.final_cell_0028,5,17,17,5,17,17,4,17,2,3,17,2,1,17,2
human1_lib1.final_cell_0029,4,28,2,4,28,2,4,17,2,3,17,2,1,17,2
human1_lib1.final_cell_0030,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0031,41,4,5,41,4,5,41,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0032,41,4,5,41,4,5,41,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0033,41,4,5,41,4,5,41,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0034,42,4,5,42,4,5,42,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0035,40,6,4,40,6,4,40,6,4,38,6,4,36,6,4
human1_lib1.final_cell_0036,5,28,2,5,28,2,4,17,2,3,17,2,1,17,2
human1_lib1.final_cell_0037,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0038,9,1,4,9,1,4,9,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0039,55,1,20,55,1,20,55,1,20,55,1,20,55,1,20
human1_lib1.final_cell_0040,41,4,5,41,4,5,41,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0041,32,20,13,32,20,13,32,20,13,32,20,13,2,15,13
human1_lib1.final_cell_0042,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0043,41,4,5,41,4,5,41,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0044,32,15,13,32,15,13,32,15,13,32,15,13,2,15,13
human1_lib1.final_cell_0045,33,20,13,33,20,13,33,20,13,33,20,13,2,15,13
human1_lib1.final_cell_0046,32,20,13,32,20,13,32,20,13,32,20,13,2,15,13
human1_lib1.final_cell_0047,6,28,2,6,28,2,4,17,2,3,17,2,1,17,2
human1_lib1.final_cell_0048,32,20,13,32,20,13,32,20,13,32,20,13,2,15,13
human1_lib1.final_cell_0049,41,4,5,41,4,5,41,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0050,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0051,42,4,5,42,4,5,42,4,5,41,4,5,41,4,5
human1_lib1.final_cell_0052,10,3,4,10,3,4,10,3,4,9,1,4,9,1,4
human1_lib1.final_cell_0053,6,28,2,6,28,2,4,17,2,3,17,2,1,17,2
human1_lib1.final_cell_0054,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0055,9,1,4,9,1,4,9,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0056,32,20,13,32,20,13,32,20,13,32,20,13,2,15,13
human1_lib1.final_cell_0057,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0058,10,1,4,10,1,4,10,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0059,9,1,4,9,1,4,9,1,4,9,1,4,9,1,4
human1_lib1.final_cell_0060,59,2,20,59,2,20,59,2,20,59,2,20,59,2,20
human1_lib1.final_cell_0061,19,26,8,19,26,8,19,26,8,19,26,8,16,26,8
human1_lib1.final_cell_0062,50,23,7,50,23,7,50,23,7,50,23,7,28,23,7
