sc3.sc3_0,sc3.sc3_0.05,sc3.sc3_0.1,sc3.sc3_0.15,sc3.sc3_0.2,sc3.sc3_0.25,sc3.sc3_0.3,sc3.sc3_0.35,sc3.sc3_0.4,sc3.sc3_0.45,sc3.sc3_0.5,sc3.sc3_0.55,sc3.sc3_0.6,sc3.sc3_0.65,sc3.sc3_0.7,sc3.sc3_0.75,sc3.sc3_0.8,sc3.sc3_0.85,sc3.sc3_0.9,sc3.sc3_0.95,sc3.sc3_1,Monocle.Monocle_0,Monocle.Monocle_0.05,Monocle.Monocle_0.1,Monocle.Monocle_0.15,Monocle.Monocle_0.2,Monocle.Monocle_0.25,Monocle.Monocle_0.3,Monocle.Monocle_0.35,Monocle.Monocle_0.4,Monocle.Monocle_0.45,Monocle.Monocle_0.5,Monocle.Monocle_0.55,Monocle.Monocle_0.6,Monocle.Monocle_0.65,Monocle.Monocle_0.7,Monocle.Monocle_0.75,Monocle.Monocle_0.8,Monocle.Monocle_0.85,Monocle.Monocle_0.9,Monocle.Monocle_0.95,Monocle.Monocle_1,Seurat.Seurat_0,Seurat.Seurat_0.05,Seurat.Seurat_0.1,Seurat.Seurat_0.15,Seurat.Seurat_0.2,Seurat.Seurat_0.25,Seurat.Seurat_0.3,Seurat.Seurat_0.35,Seurat.Seurat_0.4,Seurat.Seurat_0.45,Seurat.Seurat_0.5,Seurat.Seurat_0.55,Seurat.Seurat_0.6,Seurat.Seurat_0.65,Seurat.Seurat_0.7,Seurat.Seurat_0.75,Seurat.Seurat_0.8,Seurat.Seurat_0.85,Seurat.Seurat_0.9,Seurat.Seurat_0.95,Seurat.Seurat_1,cells
9,10,10,10,10,10,8,7,7,7,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,5,5,5,8,6,6,6,6,3,3,3,3,1,1,1,1,1,1,1,AZ_A1
7,6,6,6,6,6,5,4,4,4,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,12,12,12,12,1,1,1,1,1,7,7,7,7,1,1,1,1,1,1,1,AZ_A10
19,14,13,13,13,13,5,4,4,4,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,18,18,18,17,11,8,8,8,8,5,5,5,5,1,1,1,1,1,1,1,AZ_A11
6,5,5,5,5,5,4,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,12,12,12,12,1,1,1,1,1,7,7,7,7,1,1,1,1,1,1,1,AZ_A12
7,6,6,6,6,6,5,4,4,4,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,21,21,16,9,7,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,AZ_A2
9,10,10,10,10,10,8,7,7,7,6,6,1,1,1,1,1,1,1,1,1,21,20,20,18,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,13,12,12,12,12,1,1,1,1,1,7,7,7,7,1,1,1,1,1,1,1,AZ_A3
9,10,10,10,10,10,8,7,7,7,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,5,5,5,8,6,6,6,6,3,3,3,3,1,1,1,1,1,1,1,AZ_A4
2,2,2,2,2,2,1,5,5,5,4,4,1,1,1,1,1,1,1,1,1,21,20,20,18,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,5,5,5,5,5,8,6,6,6,6,3,3,3,3,1,1,1,1,1,1,1,AZ_A5
19,14,13,13,13,13,5,4,4,4,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,16,16,16,9,7,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,AZ_A6
8,7,7,7,7,7,6,5,5,5,4,4,1,1,1,1,1,1,1,1,1,11,10,10,10,9,8,8,8,6,5,5,5,5,5,1,1,1,1,1,1,1,8,7,7,7,7,5,3,3,3,3,7,7,7,7,1,1,1,1,1,1,1,AZ_A7
6,5,5,5,5,5,4,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,18,18,18,17,11,8,8,8,8,5,5,5,5,1,1,1,1,1,1,1,AZ_A8
6,5,5,5,5,5,4,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,12,12,12,12,1,1,1,1,1,7,7,7,7,1,1,1,1,1,1,1,AZ_A9
6,5,5,5,5,5,4,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,12,12,12,12,1,1,1,1,1,7,7,7,7,1,1,1,1,1,1,1,AZ_B1
