cells,sc3-Initial,Monocle-Initial,Seurat-Initial,sc3-33,Monocle-33,Seurat-33,sc3-66,Monocle-66,Seurat-66,sc3-90,Monocle-90,Seurat-90,sc3-Final,Monocle-Final,Seurat-Final
AZ_A1,19,2,6,19,2,6,19,2,6,19,2,6,19,2,6
AZ_A10,11,1,13,11,1,13,11,1,13,11,1,13,11,1,13
AZ_A11,25,2,25,25,2,25,25,2,25,25,2,25,25,2,25
AZ_A12,31,1,13,31,1,13,31,1,13,31,1,13,26,1,13
AZ_A2,11,1,22,11,1,22,11,1,22,11,1,22,11,1,22
AZ_A3,20,39,13,20,39,13,20,39,13,20,39,13,20,39,13
AZ_A4,19,1,6,19,1,6,19,1,6,19,1,6,19,1,6
AZ_A5,4,21,5,4,21,5,4,21,5,4,21,5,4,21,5
AZ_A6,25,2,17,25,2,17,25,2,17,25,2,17,25,2,17
AZ_A7,12,5,7,12,5,7,12,5,7,12,5,7,6,5,7
AZ_A8,10,1,21,10,1,21,10,1,21,10,1,21,10,1,19
AZ_A9,31,1,13,31,1,13,31,1,13,31,1,13,26,1,13
AZ_B1,31,1,13,31,1,13,31,1,13,31,1,13,26,1,13
AZ_B10,31,1,13,31,1,13,31,1,13,31,1,13,26,1,13
AZ_B11,25,2,8,25,2,8,25,2,8,25,2,8,25,2,8
AZ_B12,25,2,11,25,2,11,25,2,11,25,2,11,25,2,11
AZ_B2,25,2,25,25,2,25,25,2,25,25,2,25,25,2,25
AZ_B3,25,2,11,25,2,11,25,2,11,25,2,11,25,2,11
AZ_B4,19,21,6,19,21,6,19,21,6,19,21,6,19,21,6
AZ_B5,25,2,6,25,2,6,25,2,6,25,2,6,25,2,6
AZ_B6,25,2,25,25,2,25,25,2,25,25,2,25,25,2,25
AZ_B7,19,21,6,19,21,6,19,21,6,19,21,6,19,21,6
AZ_B8,12,5,7,12,5,7,12,5,7,12,5,7,6,5,7
AZ_B9,25,2,25,25,2,25,25,2,25,25,2,25,25,2,25
