sc3.sc3_10,sc3.sc3_11,sc3.sc3_12,sc3.sc3_13,sc3.sc3_14,sc3.sc3_15,sc3.sc3_16,sc3.sc3_17,sc3.sc3_18,sc3.sc3_19,sc3.sc3_20,sc3.sc3_21,sc3.sc3_22,sc3.sc3_23,sc3.sc3_24,sc3.sc3_25,sc3.sc3_26,sc3.sc3_27,sc3.sc3_28,sc3.sc3_29,sc3.sc3_30,sc3.sc3_31,Monocle.Monocle_10,Monocle.Monocle_11,Monocle.Monocle_12,Monocle.Monocle_13,Monocle.Monocle_14,Monocle.Monocle_15,Monocle.Monocle_16,Monocle.Monocle_17,Monocle.Monocle_18,Monocle.Monocle_19,Monocle.Monocle_20,Monocle.Monocle_21,Monocle.Monocle_22,Monocle.Monocle_23,Monocle.Monocle_24,Monocle.Monocle_25,Monocle.Monocle_26,Monocle.Monocle_27,Monocle.Monocle_28,Monocle.Monocle_29,Monocle.Monocle_30,Monocle.Monocle_31,Monocle.Monocle_32,Monocle.Monocle_33,Monocle.Monocle_34,Monocle.Monocle_35,Monocle.Monocle_36,Monocle.Monocle_37,Monocle.Monocle_38,Monocle.Monocle_39,Monocle.Monocle_40,Monocle.Monocle_41,Seurat.Seurat_10,Seurat.Seurat_11,Seurat.Seurat_12,Seurat.Seurat_13,Seurat.Seurat_14,Seurat.Seurat_15,Seurat.Seurat_16,Seurat.Seurat_17,Seurat.Seurat_18,Seurat.Seurat_19,Seurat.Seurat_20,Seurat.Seurat_21,Seurat.Seurat_22,Seurat.Seurat_23,Seurat.Seurat_24,Seurat.Seurat_25,cells
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AZ_A1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,AZ_A10
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,AZ_A11
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,AZ_A12
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,AZ_A2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,AZ_A3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AZ_A4
1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,AZ_A5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6,AZ_A6
1,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,1,2,2,2,6,6,6,6,6,6,6,6,6,6,7,7,AZ_A7
