cells,sc3-00,Monocle-00,Seurat-00,Garbage1-00,Garbage2-00,sc3-05,Monocle-05,Seurat-05,Garbage1-05,Garbage2-05,sc3-10,Monocle-10,Seurat-10,Garbage1-10,Garbage2-10,sc3-15,Monocle-15,Seurat-15,Garbage1-15,Garbage2-15,sc3-20,Monocle-20,Seurat-20,Garbage1-20,Garbage2-20,sc3-25,Monocle-25,Seurat-25,Garbage1-25,Garbage2-25,sc3-30,Monocle-30,Seurat-30,Garbage1-30,Garbage2-30,sc3-35,Monocle-35,Seurat-35,Garbage1-35,Garbage2-35,sc3-40,Monocle-40,Seurat-40,Garbage1-40,Garbage2-40,sc3-45,Monocle-45,Seurat-45,Garbage1-45,Garbage2-45,sc3-50,Monocle-50,Seurat-50,Garbage1-50,Garbage2-50,sc3-55,Monocle-55,Seurat-55,Garbage1-55,Garbage2-55,sc3-60,Monocle-60,Seurat-60,Garbage1-60,Garbage2-60,sc3-65,Monocle-65,Seurat-65,Garbage1-65,Garbage2-65,sc3-70,Monocle-70,Seurat-70,Garbage1-70,Garbage2-70,sc3-75,Monocle-75,Seurat-75,Garbage1-75,Garbage2-75,sc3-80,Monocle-80,Seurat-80,Garbage1-80,Garbage2-80,sc3-85,Monocle-85,Seurat-85,Garbage1-85,Garbage2-85,sc3-90,Monocle-90,Seurat-90,Garbage1-90,Garbage2-90,sc3-95,Monocle-95,Seurat-95,Garbage1-95,Garbage2-95,sc3-100,Monocle-100,Seurat-100,Garbage1-100,Garbage2-100
HP1502401_A10,16,4,17,15,14,16,4,17,15,14,16,4,17,15,14,16,4,17,15,14,16,4,17,15,14,16,4,17,15,14,16,4,17,15,14,16,4,17,15,14,16,4,17,15,14,16,4,17,15,14,16,4,17,15,14,16,4,17,15,14,16,4,17,15,14,16,4,17,15,14,16,4,17,15,14,16,4,11,15,14,14,4,11,15,14,14,4,11,15,14,14,4,11,15,14,14,4,11,15,14,14,4,11,15,14
HP1502401_A12,7,12,1,15,9,6,12,1,15,9,6,12,1,15,9,6,12,1,15,9,6,12,1,15,9,6,12,1,15,9,6,12,1,15,9,6,12,1,15,9,6,12,1,15,9,6,12,1,15,9,6,12,1,15,9,6,12,1,15,9,6,12,1,15,9,6,12,1,15,9,6,12,1,15,9,6,12,1,15,9,6,12,1,15,9,6,12,1,15,9,6,12,1,15,9,6,12,1,15,4,6,12,1,15,3
HP1502401_A14,12,8,12,9,15,12,8,12,9,15,12,8,12,9,15,12,8,12,9,15,12,8,12,9,15,12,8,12,9,15,12,8,12,9,15,12,8,12,9,15,12,8,12,9,15,12,8,12,9,15,12,8,12,9,15,12,8,12,9,15,11,8,12,9,15,11,8,8,9,15,11,8,8,9,15,11,8,8,9,15,11,8,8,9,15,11,8,8,9,15,11,8,8,5,15,11,8,8,1,15,3,8,8,1,15
HP1502401_A15,7,12,10,16,12,6,12,10,16,12,6,12,10,16,12,6,12,10,16,12,6,12,10,16,12,6,12,10,16,12,6,12,10,16,12,6,12,10,16,12,6,12,10,16,12,6,12,10,16,12,6,12,10,16,12,6,12,10,16,12,6,12,10,16,12,6,12,10,16,12,6,12,10,16,12,6,12,10,16,12,6,12,10,16,12,6,12,10,16,12,6,12,10,16,12,6,12,10,16,12,6,12,10,16,12
HP1502401_A17,7,3,1,6,8,6,3,1,6,8,6,3,1,6,8,6,3,1,6,8,6,3,1,6,8,6,3,1,6,8,6,3,1,6,8,6,3,1,6,8,6,3,1,6,8,6,3,1,6,8,6,3,1,6,8,6,3,1,6,8,6,3,1,6,8,6,3,1,6,8,6,3,1,6,8,6,3,1,6,8,6,3,1,6,8,6,3,1,6,8,6,3,1,6,8,6,3,1,6,8,6,3,1,6,8
HP1502401_A18,13,13,7,12,1,13,13,7,12,1,13,13,7,12,1,13,13,7,12,1,13,13,7,12,1,13,13,7,12,1,13,13,7,12,1,13,13,7,12,1,13,13,7,12,1,13,13,7,12,1,13,13,7,12,1,13,13,7,12,1,13,13,7,12,1,13,13,7,12,1,13,13,7,12,1,13,13,7,12,1,13,13,7,12,1,13,13,7,12,1,13,13,7,12,1,13,13,7,12,1,13,13,7,1,1
HP1502401_A2,13,13,7,22,4,13,13,7,22,4,13,13,7,22,4,13,13,7,22,4,13,13,7,22,4,13,13,7,22,4,13,13,7,22,4,13,13,7,22,4,13,13,7,22,4,13,13,7,22,4,13,13,7,22,4,13,13,7,22,4,13,13,7,22,4,13,13,7,22,4,13,13,7,22,4,13,13,7,22,4,13,13,7,22,4,13,13,7,22,4,13,13,7,22,4,13,13,7,1,4,13,13,7,1,3
HP1502401_A20,18,12,14,24,8,18,12,14,24,8,18,12,14,24,8,18,12,14,24,8,18,12,14,24,8,18,12,14,24,8,18,12,14,24,8,18,12,14,24,8,18,12,14,24,8,18,12,14,24,8,18,12,14,24,8,18,12,14,24,8,18,12,14,24,8,18,12,14,24,8,18,12,14,24,8,18,12,14,24,8,18,12,14,24,8,18,12,14,24,8,18,12,14,24,8,18,12,14,24,8,18,12,14,24,8
HP1502401_A21,18,12,14,2,7,18,12,14,2,7,18,12,14,2,7,18,12,14,2,7,18,12,14,2,7,18,12,14,2,7,18,12,14,2,7,18,12,14,2,7,18,12,14,2,7,18,12,14,2,7,18,12,14,2,7,18,12,14,2,7,18,12,14,2,7,18,12,14,2,7,18,12,14,2,7,18,12,14,2,7,18,12,14,2,7,18,12,14,2,7,18,12,14,2,7,18,12,14,2,7,18,12,14,2,7
HP1502401_A22,12,8,12,18,23,12,8,12,18,23,12,8,12,18,23,12,8,12,18,23,12,8,12,18,23,12,8,12,18,23,12,8,12,18,23,12,8,12,18,23,12,8,12,18,23,12,8,12,18,23,12,8,12,18,23,12,8,12,18,23,11,8,12,18,23,11,8,8,18,23,11,8,8,18,23,11,8,8,18,23,11,8,8,18,23,11,8,8,18,23,11,8,8,18,23,11,8,8,18,23,3,8,8,18,23
HP1502401_A23,18,12,14,23,15,18,12,14,23,15,18,12,14,23,15,18,12,14,23,15,18,12,14,23,15,18,12,14,23,15,18,12,14,23,15,18,12,14,23,15,18,12,14,23,15,18,12,14,23,15,18,12,14,23,15,18,12,14,23,15,18,12,14,23,15,18,12,14,23,15,18,12,14,23,15,18,12,14,23,15,18,12,14,23,15,18,12,14,23,15,18,12,14,23,15,18,12,14,23,15,18,12,14,23,15
HP1502401_A24,13,13,7,6,12,13,13,7,6,12,13,13,7,6,12,13,13,7,6,12,13,13,7,6,12,13,13,7,6,12,13,13,7,6,12,13,13,7,6,12,13,13,7,6,12,13,13,7,6,12,13,13,7,6,12,13,13,7,6,12,13,13,7,6,12,13,13,7,6,12,13,13,7,6,12,13,13,7,6,12,13,13,7,6,12,13,13,7,6,12,13,13,7,6,12,13,13,7,6,12,13,13,7,6,12
HP1502401_A4,7,3,3,18,7,6,3,3,18,7,6,3,3,18,7,6,3,3,18,7,6,3,3,18,7,6,3,3,18,7,6,3,3,18,7,6,3,3,18,7,6,3,3,18,7,6,3,3,18,7,6,3,3,18,7,6,3,3,18,7,6,3,3,18,7,6,3,3,18,7,6,3,3,18,7,6,3,3,18,7,6,3,3,18,7,6,3,3,18,7,6,3,3,18,7,6,3,3,18,7,6,3,3,18,7
HP1502401_A6,16,4,11,23,11,16,4,11,23,11,16,4,11,23,11,16,4,11,23,11,16,4,11,23,11,16,4,11,23,11,16,4,11,23,11,16,4,11,23,11,16,4,11,23,11,16,4,11,23,11,16,4,11,23,11,16,4,11,23,11,16,4,11,23,11,16,4,11,23,11,16,4,11,23,11,16,4,11,23,11,14,4,11,23,11,14,4,11,23,11,14,4,11,23,11,14,4,11,23,11,14,4,11,23,11
HP1502401_A7,16,4,11,12,13,16,4,11,12,13,16,4,11,12,13,16,4,11,12,13,16,4,11,12,13,16,4,11,12,13,16,4,11,12,13,16,4,11,12,13,16,4,11,12,13,16,4,11,12,13,16,4,11,12,13,16,4,11,12,13,16,4,11,12,13,16,4,11,12,13,16,4,11,12,13,16,4,11,12,13,14,4,11,12,4,14,4,11,12,4,14,4,11,12,4,14,4,11,12,4,14,4,11,1,3
HP1502401_B1,16,4,11,2,12,16,4,11,2,12,16,4,11,2,12,16,4,11,2,12,16,4,11,2,12,16,4,11,2,12,16,4,11,2,12,16,4,11,2,12,16,4,11,2,12,16,4,11,2,12,16,4,11,2,12,16,4,11,2,12,16,4,11,2,12,16,4,11,2,12,16,4,11,2,12,16,4,11,2,12,14,4,11,2,12,14,4,11,2,12,14,4,11,2,12,14,4,11,2,12,14,4,11,2,12
HP1502401_B10,7,9,12,25,10,6,9,12,25,10,6,9,12,25,10,6,9,12,25,10,6,9,12,25,10,6,9,12,25,10,6,9,12,25,10,6,9,12,25,10,6,9,12,25,10,6,9,12,25,10,6,9,12,25,10,6,9,12,25,10,6,9,12,25,10,6,9,8,25,10,6,9,8,25,10,6,9,8,25,10,6,9,8,25,10,6,9,8,25,10,6,9,8,25,10,6,9,8,1,10,6,9,8,1,10
HP1502401_B11,9,2,6,25,4,9,2,6,25,4,9,2,6,25,4,9,2,6,25,4,9,2,6,25,4,9,2,6,25,4,9,2,6,25,4,9,2,6,25,4,9,2,6,25,4,9,2,6,25,4,9,2,6,25,4,9,2,6,25,4,9,2,6,25,4,9,2,6,25,4,9,2,6,25,4,9,2,6,25,4,9,2,6,25,4,9,2,6,25,4,9,2,6,25,4,9,2,6,1,4,9,2,6,1,3
HP1502401_B14,16,4,11,12,15,16,4,11,12,15,16,4,11,12,15,16,4,11,12,15,16,4,11,12,15,16,4,11,12,15,16,4,11,12,15,16,4,11,12,15,16,4,11,12,15,16,4,11,12,15,16,4,11,12,15,16,4,11,12,15,16,4,11,12,15,16,4,11,12,15,16,4,11,12,15,16,4,11,12,15,14,4,11,12,15,14,4,11,12,15,14,4,11,12,15,14,4,11,12,15,14,4,11,1,15
HP1502401_B15,9,2,6,8,21,9,2,6,8,21,9,2,6,8,21,9,2,6,8,21,9,2,6,8,21,9,2,6,8,21,9,2,6,8,21,9,2,6,8,21,9,2,6,8,21,9,2,6,8,21,9,2,6,8,21,9,2,6,8,21,9,2,6,8,21,9,2,6,8,21,9,2,6,8,21,9,2,6,8,21,9,2,6,8,21,9,2,6,8,21,9,2,6,8,21,9,2,6,8,21,9,2,6,1,3
HP1502401_B16,7,12,1,13,3,6,12,1,13,3,6,12,1,13,3,6,12,1,13,3,6,12,1,13,3,6,12,1,13,3,6,12,1,13,3,6,12,1,13,3,6,12,1,13,3,6,12,1,13,3,6,12,1,13,3,6,12,1,13,3,6,12,1,13,3,6,12,1,13,3,6,12,1,13,3,6,12,1,13,3,6,12,1,13,3,6,12,1,13,3,6,12,1,13,3,6,12,1,1,3,6,12,1,1,3
HP1502401_B17,12,8,12,19,3,12,8,12,19,3,12,8,12,19,3,12,8,12,19,3,12,8,12,19,3,12,8,12,19,3,12,8,12,19,3,12,8,12,19,3,12,8,12,19,3,12,8,12,19,3,12,8,12,19,3,12,8,12,19,3,11,8,12,19,3,11,8,8,19,3,11,8,8,19,3,11,8,8,19,3,11,8,8,19,3,11,8,8,19,3,11,8,8,19,3,11,8,8,1,3,3,8,8,1,3
HP1502401_B18,9,2,6,16,2,9,2,6,16,2,9,2,6,16,2,9,2,6,16,2,9,2,6,16,2,9,2,6,16,2,9,2,6,16,2,9,2,6,16,2,9,2,6,16,2,9,2,6,16,2,9,2,6,16,2,9,2,6,16,2,9,2,6,16,2,9,2,6,16,2,9,2,6,16,2,9,2,6,16,2,9,2,6,16,2,9,2,6,16,2,9,2,6,16,2,9,2,6,16,2,9,2,6,16,2
HP1502401_B20,7,9,10,4,8,6,9,10,4,8,6,9,10,4,8,6,9,10,4,8,6,9,10,4,8,6,9,10,4,8,6,9,10,4,8,6,9,10,4,8,6,9,10,4,8,6,9,10,4,8,6,9,10,4,8,6,9,10,4,8,6,9,10,4,8,6,9,10,4,8,6,9,10,4,8,6,9,10,4,8,6,9,10,4,8,6,9,10,4,8,6,9,10,4,8,6,9,10,4,8,6,9,10,4,8
HP1502401_B21,16,4,11,2,4,16,4,11,2,4,16,4,11,2,4,16,4,11,2,4,16,4,11,2,4,16,4,11,2,4,16,4,11,2,4,16,4,11,2,4,16,4,11,2,4,16,4,11,2,4,16,4,11,2,4,16,4,11,2,4,16,4,11,2,4,16,4,11,2,4,16,4,11,2,4,16,4,11,2,4,14,4,11,2,4,14,4,11,2,4,14,4,11,2,4,14,4,11,2,4,14,4,11,2,3
