cells,sc3-00,Monocle-00,Seurat-00,Garbage1-00,sc3-05,Monocle-05,Seurat-05,Garbage1-05,sc3-10,Monocle-10,Seurat-10,Garbage1-10,sc3-15,Monocle-15,Seurat-15,Garbage1-15,sc3-20,Monocle-20,Seurat-20,Garbage1-20,sc3-25,Monocle-25,Seurat-25,Garbage1-25,sc3-30,Monocle-30,Seurat-30,Garbage1-30,sc3-35,Monocle-35,Seurat-35,Garbage1-35,sc3-40,Monocle-40,Seurat-40,Garbage1-40,sc3-45,Monocle-45,Seurat-45,Garbage1-45,sc3-50,Monocle-50,Seurat-50,Garbage1-50,sc3-55,Monocle-55,Seurat-55,Garbage1-55,sc3-60,Monocle-60,Seurat-60,Garbage1-60,sc3-65,Monocle-65,Seurat-65,Garbage1-65,sc3-70,Monocle-70,Seurat-70,Garbage1-70,sc3-75,Monocle-75,Seurat-75,Garbage1-75,sc3-80,Monocle-80,Seurat-80,Garbage1-80,sc3-85,Monocle-85,Seurat-85,Garbage1-85,sc3-90,Monocle-90,Seurat-90,Garbage1-90,sc3-95,Monocle-95,Seurat-95,Garbage1-95,sc3-100,Monocle-100,Seurat-100,Garbage1-100
human1_lib1.final_cell_0001,18,16,20,29,18,16,20,29,18,16,20,29,18,15,20,29,18,15,20,29,18,15,20,29,18,15,20,29,18,15,20,29,18,15,20,29,18,15,20,29,18,15,20,29,18,15,20,29,18,15,20,29,18,15,20,29,7,15,2,29,7,15,2,29,7,15,2,29,7,15,2,29,7,15,2,29,7,15,2,29,7,15,2,29
human1_lib1.final_cell_0002,21,16,20,12,21,16,20,12,21,16,20,12,21,15,20,12,21,15,20,12,21,15,20,12,21,15,20,12,21,15,20,12,21,15,20,12,21,15,20,12,21,15,20,12,21,15,20,12,21,15,20,12,21,15,20,12,21,15,2,12,21,15,2,12,21,15,2,12,21,15,2,12,21,15,2,12,21,15,2,12,21,15,2,12
human1_lib1.final_cell_0003,18,15,20,21,18,15,20,21,18,15,20,21,18,15,20,21,18,15,20,21,18,15,20,21,18,15,20,21,18,15,20,21,18,15,20,21,18,15,20,21,18,15,20,21,18,15,20,21,18,15,20,21,18,15,20,21,7,15,2,21,7,15,2,21,7,15,2,21,7,15,2,21,7,15,2,21,7,15,2,21,7,15,2,4
human1_lib1.final_cell_0004,18,16,20,11,18,16,20,11,18,16,20,11,18,15,20,11,18,15,20,11,18,15,20,11,18,15,20,11,18,15,20,11,18,15,20,11,18,15,20,11,18,15,20,11,18,15,20,11,18,15,20,11,18,15,20,11,7,15,2,11,7,15,2,11,7,15,2,11,7,15,2,11,7,15,2,11,7,15,2,11,7,15,2,11
human1_lib1.final_cell_0005,18,16,20,30,18,16,20,30,18,16,20,30,18,15,20,30,18,15,20,30,18,15,20,30,18,15,20,30,18,15,20,30,18,15,20,30,18,15,20,30,18,15,20,30,18,15,20,30,18,15,20,30,18,15,20,30,7,15,2,30,7,15,2,30,7,15,2,30,7,15,2,30,7,15,2,30,7,15,2,30,7,15,2,4
human1_lib1.final_cell_0006,18,16,20,1,18,16,20,1,18,16,20,1,18,15,20,1,18,15,20,1,18,15,20,1,18,15,20,1,18,15,20,1,18,15,20,1,18,15,20,1,18,15,20,1,18,15,20,1,18,15,20,1,18,15,20,1,7,15,2,1,7,15,2,1,7,15,2,1,7,15,2,1,7,15,2,1,7,15,2,1,7,15,2,1
human1_lib1.final_cell_0007,38,23,3,25,38,23,3,25,38,23,3,25,38,23,3,25,38,23,3,25,38,23,3,25,38,23,3,25,38,23,3,25,38,23,3,25,38,23,3,25,38,23,3,25,38,23,3,25,38,23,3,25,38,23,3,25,38,23,3,25,38,23,3,25,38,23,3,25,38,23,3,25,38,23,3,25,38,23,3,25,38,23,3,25
human1_lib1.final_cell_0008,18,16,20,20,18,16,20,20,18,16,20,20,18,15,20,20,18,15,20,20,18,15,20,20,18,15,20,20,18,15,20,20,18,15,20,20,18,15,20,20,18,15,20,20,18,15,20,20,18,15,20,20,18,15,20,20,7,15,2,20,7,15,2,20,7,15,2,20,7,15,2,20,7,15,2,20,7,15,2,20,7,15,2,20
human1_lib1.final_cell_0009,21,16,20,7,21,16,20,7,21,16,20,7,21,15,20,7,21,15,20,7,21,15,20,7,21,15,20,7,21,15,20,7,21,15,20,7,21,15,20,7,21,15,20,7,21,15,20,7,21,15,20,7,21,15,20,7,21,15,2,7,21,15,2,7,21,15,2,7,21,15,2,7,21,15,2,7,21,15,2,7,21,15,2,4
human1_lib1.final_cell_0010,18,16,20,29,18,16,20,29,18,16,20,29,18,15,20,29,18,15,20,29,18,15,20,29,18,15,20,29,18,15,20,29,18,15,20,29,18,15,20,29,18,15,20,29,18,15,20,29,18,15,20,29,18,15,20,29,7,15,2,29,7,15,2,29,7,15,2,29,7,15,2,29,7,15,2,29,7,15,2,29,7,15,2,29
