cells,sc3-00,Monocle-00,Seurat-00,Garbage1-00,sc3-05,Monocle-05,Seurat-05,Garbage1-05,sc3-10,Monocle-10,Seurat-10,Garbage1-10,sc3-15,Monocle-15,Seurat-15,Garbage1-15,sc3-20,Monocle-20,Seurat-20,Garbage1-20,sc3-25,Monocle-25,Seurat-25,Garbage1-25,sc3-30,Monocle-30,Seurat-30,Garbage1-30,sc3-35,Monocle-35,Seurat-35,Garbage1-35,sc3-40,Monocle-40,Seurat-40,Garbage1-40,sc3-45,Monocle-45,Seurat-45,Garbage1-45,sc3-50,Monocle-50,Seurat-50,Garbage1-50,sc3-55,Monocle-55,Seurat-55,Garbage1-55,sc3-60,Monocle-60,Seurat-60,Garbage1-60,sc3-65,Monocle-65,Seurat-65,Garbage1-65,sc3-70,Monocle-70,Seurat-70,Garbage1-70,sc3-75,Monocle-75,Seurat-75,Garbage1-75,sc3-80,Monocle-80,Seurat-80,Garbage1-80,sc3-85,Monocle-85,Seurat-85,Garbage1-85,sc3-90,Monocle-90,Seurat-90,Garbage1-90,sc3-95,Monocle-95,Seurat-95,Garbage1-95,sc3-100,Monocle-100,Seurat-100,Garbage1-100
HP1502401_A10,28,6,17,25,28,6,17,25,28,6,17,25,28,6,17,25,28,6,17,25,28,6,17,25,28,6,17,25,28,6,17,25,28,6,17,25,28,6,17,25,28,6,17,25,28,6,17,25,28,6,17,25,28,6,17,25,28,6,17,25,28,6,17,25,2,6,17,25,2,6,17,25,2,6,17,25,2,6,17,25,2,6,17,25
HP1502401_A12,16,11,1,13,16,11,1,13,16,11,1,13,16,11,1,13,16,11,1,13,16,11,1,13,16,11,1,13,16,11,1,13,16,11,1,13,16,11,1,13,16,11,1,13,16,11,1,13,16,11,1,13,16,11,1,13,16,11,1,13,16,11,1,13,16,11,1,13,16,11,1,13,16,11,1,2,10,11,1,2,10,11,1,2
HP1502401_A14,19,8,14,6,19,8,14,6,19,8,14,6,19,8,14,6,19,8,14,6,19,8,14,6,19,8,14,6,19,8,14,6,19,8,14,6,19,8,14,6,19,8,14,6,19,8,14,6,19,8,14,6,19,8,14,6,19,8,14,6,19,8,8,6,19,8,8,6,19,8,8,6,19,8,8,2,19,8,8,2,19,8,8,2
HP1502401_A15,16,4,10,30,16,4,10,30,16,4,10,30,16,4,10,30,16,4,10,30,16,4,10,30,16,4,10,30,16,4,10,30,16,4,10,30,16,4,10,30,16,4,10,30,16,4,10,30,16,4,10,30,16,4,10,30,16,4,10,30,16,4,10,30,16,4,10,30,16,4,10,30,16,4,10,30,10,4,10,30,10,4,10,30
HP1502401_A17,16,15,1,3,16,15,1,3,16,15,1,3,16,15,1,3,16,15,1,3,16,15,1,3,16,15,1,3,16,15,1,3,16,15,1,3,16,15,1,3,16,15,1,3,16,15,1,3,16,15,1,3,16,15,1,3,16,15,1,3,16,15,1,3,16,15,1,3,16,15,1,3,16,15,1,3,10,15,1,3,10,15,1,3
HP1502401_A18,17,20,7,19,17,20,7,19,17,20,7,19,17,20,7,19,17,20,7,19,17,20,7,19,17,20,7,19,17,20,7,19,17,20,7,19,17,20,7,19,17,20,7,19,17,20,7,19,17,20,7,19,17,20,7,19,17,20,7,19,17,20,7,19,17,20,7,19,17,20,7,19,17,20,7,19,17,20,7,2,17,20,7,2
HP1502401_A2,17,20,7,16,17,20,7,16,17,20,7,16,17,20,7,16,17,20,7,16,17,20,7,16,17,20,7,16,17,20,7,16,17,20,7,16,17,20,7,16,17,20,7,16,17,20,7,16,17,20,7,16,17,20,7,16,17,20,7,16,17,20,7,16,17,20,7,16,17,20,7,16,17,20,7,16,17,20,7,16,17,20,7,16
HP1502401_A20,32,5,13,18,32,5,13,18,32,5,13,18,32,5,13,18,32,5,13,18,32,5,13,18,32,5,13,18,32,5,13,18,32,5,13,18,32,5,13,18,32,5,13,18,32,5,13,18,32,5,13,18,32,5,13,18,32,5,13,18,32,5,13,18,32,5,13,18,32,5,13,18,32,5,13,18,32,4,13,18,32,4,13,18
HP1502401_A21,32,5,13,10,32,5,13,10,32,5,13,10,32,5,13,10,32,5,13,10,32,5,13,10,32,5,13,10,32,5,13,10,32,5,13,10,32,5,13,10,32,5,13,10,32,5,13,10,32,5,13,10,32,5,13,10,32,5,13,10,32,5,13,10,32,5,13,10,32,5,13,10,32,5,13,10,32,4,13,10,32,4,13,10
HP1502401_A22,21,8,14,10,21,8,14,10,21,8,14,10,21,8,14,10,21,8,14,10,21,8,14,10,21,8,14,10,21,8,14,10,21,8,14,10,21,8,14,10,21,8,14,10,21,8,14,10,21,8,14,10,21,8,14,10,21,8,14,10,21,8,8,10,21,8,8,10,19,8,8,10,19,8,8,10,19,8,8,10,19,8,8,10
