cells,sc3-Initial,Monocle-Initial,Seurat-Initial,garbage-Initial,sc3-33,Monocle-33,Seurat-33,garbage-33,sc3-66,Monocle-66,Seurat-66,garbage-66,sc3-90,Monocle-90,Seurat-90,garbage-90,sc3-Final,Monocle-Final,Seurat-Final,garbage-Final
human1_lib1.final_cell_0001,28,13,14,19,28,13,14,19,28,13,14,19,27,13,14,19,27,13,14,19
human1_lib1.final_cell_0002,24,13,14,26,24,13,14,26,24,13,14,26,24,13,14,26,24,13,14,26
human1_lib1.final_cell_0003,28,13,14,4,28,13,14,4,28,13,14,4,27,13,14,4,27,13,14,4
human1_lib1.final_cell_0004,28,13,14,12,28,13,14,12,28,13,14,12,27,13,14,12,27,13,14,12
human1_lib1.final_cell_0005,28,13,14,5,28,13,14,5,28,13,14,5,27,13,14,5,27,13,14,1
human1_lib1.final_cell_0006,24,13,14,13,24,13,14,13,24,13,14,13,24,13,14,13,24,13,14,1
human1_lib1.final_cell_0007,7,20,3,25,7,20,3,25,7,20,3,25,7,20,3,25,7,20,3,1
human1_lib1.final_cell_0008,28,13,14,11,28,13,14,11,28,13,14,11,27,13,14,11,27,13,14,11
human1_lib1.final_cell_0009,24,13,14,16,24,13,14,16,24,13,14,16,24,13,14,16,24,13,14,16
human1_lib1.final_cell_0010,28,13,14,28,28,13,14,28,28,13,14,28,27,13,14,28,27,13,14,28
human1_lib1.final_cell_0011,28,13,14,7,28,13,14,7,28,13,14,7,27,13,14,7,27,13,14,7
human1_lib1.final_cell_0012,28,17,14,7,28,13,14,7,28,13,14,7,27,13,14,7,27,13,14,7
human1_lib1.final_cell_0013,26,4,5,16,26,4,5,16,26,4,5,16,26,4,5,16,26,4,5,16
human1_lib1.final_cell_0014,26,4,5,9,26,4,5,9,26,4,5,9,26,4,5,9,26,4,5,9
human1_lib1.final_cell_0015,21,1,17,5,21,1,17,5,21,1,17,5,21,1,17,5,21,1,17,1
human1_lib1.final_cell_0016,23,9,8,21,23,9,8,21,23,9,8,21,23,9,8,21,23,9,8,21
human1_lib1.final_cell_0017,7,20,3,19,7,20,3,19,7,20,3,19,7,20,3,19,7,20,3,19
human1_lib1.final_cell_0018,28,13,14,14,28,13,14,14,28,13,14,14,27,13,14,14,27,13,14,1
human1_lib1.final_cell_0019,16,15,11,6,16,15,11,6,16,15,11,6,16,15,11,6,16,15,11,6
human1_lib1.final_cell_0020,7,2,3,20,7,2,3,20,7,2,3,20,7,2,3,20,7,2,3,20
human1_lib1.final_cell_0021,7,2,3,4,7,2,3,4,7,2,3,4,7,2,3,4,7,2,3,4
human1_lib1.final_cell_0022,6,12,7,3,6,12,7,3,6,12,4,3,4,12,4,3,2,12,4,1
human1_lib1.final_cell_0023,7,15,9,18,7,15,9,18,7,15,9,18,7,15,9,18,7,15,9,1
human1_lib1.final_cell_0024,7,2,3,8,7,2,3,8,7,2,3,8,7,2,3,8,7,2,3,1
human1_lib1.final_cell_0025,26,4,5,8,26,4,5,8,26,4,5,8,26,4,5,8,26,4,5,1
human1_lib1.final_cell_0026,3,18,7,23,3,12,7,23,3,12,4,23,1,12,4,23,1,12,4,23
human1_lib1.final_cell_0027,7,2,3,15,7,2,3,15,7,2,3,15,7,2,3,15,7,2,3,15
human1_lib1.final_cell_0028,28,13,2,21,28,13,2,21,28,13,2,21,27,13,2,21,27,13,2,21
human1_lib1.final_cell_0029,28,13,14,25,28,13,14,25,28,13,14,25,27,13,14,25,27,13,14,1
human1_lib1.final_cell_0030,7,2,3,19,7,2,3,19,7,2,3,19,7,2,3,19,7,2,3,19
human1_lib1.final_cell_0031,26,4,5,24,26,4,5,24,26,4,5,24,26,4,5,24,26,4,5,1
human1_lib1.final_cell_0032,26,4,5,11,26,4,5,11,26,4,5,11,26,4,5,11,26,4,5,11
human1_lib1.final_cell_0033,26,4,5,24,26,4,5,24,26,4,5,24,26,4,5,24,26,4,5,1
human1_lib1.final_cell_0034,26,4,5,24,26,4,5,24,26,4,5,24,26,4,5,24,26,4,5,1
human1_lib1.final_cell_0035,7,2,3,21,7,2,3,21,7,2,3,21,7,2,3,21,7,2,3,21
human1_lib1.final_cell_0036,28,13,14,2,28,13,14,2,28,13,14,2,27,13,14,2,27,13,14,2
human1_lib1.final_cell_0037,7,21,3,19,7,21,3,19,7,21,3,19,7,21,3,19,7,16,3,19
human1_lib1.final_cell_0038,7,2,3,13,7,2,3,13,7,2,3,13,7,2,3,13,7,2,3,1
human1_lib1.final_cell_0039,21,20,17,27,21,20,17,27,21,20,17,27,21,20,17,27,21,20,17,1
human1_lib1.final_cell_0040,26,4,5,21,26,4,5,21,26,4,5,21,26,4,5,21,26,4,5,21
human1_lib1.final_cell_0041,23,9,8,24,23,9,8,24,23,9,8,24,23,9,8,24,23,9,8,1
human1_lib1.final_cell_0042,7,2,3,12,7,2,3,12,7,2,3,12,7,2,3,12,7,2,3,12
human1_lib1.final_cell_0043,26,4,5,25,26,4,5,25,26,4,5,25,26,4,5,25,26,4,5,1
human1_lib1.final_cell_0044,23,9,8,9,23,9,8,9,23,9,8,9,23,9,8,9,23,9,8,9
human1_lib1.final_cell_0045,23,9,8,5,23,9,8,5,23,9,8,5,23,9,8,5,23,9,8,1
human1_lib1.final_cell_0046,23,9,8,15,23,9,8,15,23,9,8,15,23,9,8,15,23,9,8,15
human1_lib1.final_cell_0047,28,13,14,25,28,13,14,25,28,13,14,25,27,13,14,25,27,13,14,1
human1_lib1.final_cell_0048,23,9,8,20,23,9,8,20,23,9,8,20,23,9,8,20,23,9,8,20
human1_lib1.final_cell_0049,26,4,5,22,26,4,5,22,26,4,5,22,26,4,5,22,26,4,5,1
human1_lib1.final_cell_0050,7,2,3,12,7,2,3,12,7,2,3,12,7,2,3,12,7,2,3,12
human1_lib1.final_cell_0051,26,4,5,24,26,4,5,24,26,4,5,24,26,4,5,24,26,4,5,1
human1_lib1.final_cell_0052,7,2,3,28,7,2,3,28,7,2,3,28,7,2,3,28,7,2,3,28
human1_lib1.final_cell_0053,28,13,14,12,28,13,14,12,28,13,14,12,27,13,14,12,27,13,14,12
human1_lib1.final_cell_0054,7,2,3,3,7,2,3,3,7,2,3,3,7,2,3,3,7,2,3,1
human1_lib1.final_cell_0055,7,20,3,16,7,20,3,16,7,20,3,16,7,20,3,16,7,20,3,16
human1_lib1.final_cell_0056,23,9,8,14,23,9,8,14,23,9,8,14,23,9,8,14,23,9,8,1
human1_lib1.final_cell_0057,7,2,3,21,7,2,3,21,7,2,3,21,7,2,3,21,7,2,3,21
human1_lib1.final_cell_0058,7,2,3,11,7,2,3,11,7,2,3,11,7,2,3,11,7,2,3,11
human1_lib1.final_cell_0059,7,16,3,24,7,16,3,24,7,16,3,24,7,16,3,24,7,16,3,1
human1_lib1.final_cell_0060,21,1,17,12,21,1,17,12,21,1,17,12,21,1,17,12,21,1,17,12
human1_lib1.final_cell_0061,17,22,9,28,17,22,9,28,17,22,9,28,17,22,9,28,17,22,9,28
human1_lib1.final_cell_0062,3,18,7,24,3,12,7,24,3,12,4,24,1,12,4,24,1,12,4,1
human1_lib1.final_cell_0063,21,1,17,15,21,1,17,15,21,1,17,15,21,1,17,15,21,1,17,15
human1_lib1.final_cell_0064,17,15,9,18,17,15,9,18,17,15,9,18,17,15,9,18,17,15,9,1
human1_lib1.final_cell_0065,25,22,3,27,25,22,3,27,25,22,3,27,25,22,3,27,25,22,3,1
human1_lib1.final_cell_0066,28,13,14,1,28,13,14,1,28,13,14,1,27,13,14,1,27,13,14,1
human1_lib1.final_cell_0067,6,12,7,5,6,12,7,5,6,12,4,5,4,12,4,5,2,12,4,1
human1_lib1.final_cell_0068,7,2,3,18,7,2,3,18,7,2,3,18,7,2,3,18,7,2,3,1
human1_lib1.final_cell_0069,26,4,5,3,26,4,5,3,26,4,5,3,26,4,5,3,26,4,5,1
human1_lib1.final_cell_0070,6,12,7,11,6,12,7,11,6,12,4,11,4,12,4,11,2,12,4,11
human1_lib1.final_cell_0071,21,20,17,22,21,20,17,22,21,20,17,22,21,20,17,22,21,20,17,1
human1_lib1.final_cell_0072,21,1,17,20,21,1,17,20,21,1,17,20,21,1,17,20,21,1,17,20
human1_lib1.final_cell_0073,21,20,3,1,21,20,3,1,21,20,3,1,21,20,3,1,21,20,3,1
human1_lib1.final_cell_0074,26,4,5,13,26,4,5,13,26,4,5,13,26,4,5,13,26,4,5,1
human1_lib1.final_cell_0075,7,2,3,9,7,2,3,9,7,2,3,9,7,2,3,9,7,2,3,9
human1_lib1.final_cell_0076,7,21,3,7,7,21,3,7,7,21,3,7,7,21,3,7,7,16,3,7
human1_lib1.final_cell_0077,26,4,5,20,26,4,5,20,26,4,5,20,26,4,5,20,26,4,5,20
human1_lib1.final_cell_0078,7,20,3,8,7,20,3,8,7,20,3,8,7,20,3,8,7,20,3,1
human1_lib1.final_cell_0079,7,2,3,26,7,2,3,26,7,2,3,26,7,2,3,26,7,2,3,26
human1_lib1.final_cell_0080,7,21,3,4,7,21,3,4,7,21,3,4,7,21,3,4,7,16,3,4
human1_lib1.final_cell_0081,7,2,3,24,7,2,3,24,7,2,3,24,7,2,3,24,7,2,3,1
human1_lib1.final_cell_0082,7,20,3,15,7,20,3,15,7,20,3,15,7,20,3,15,7,20,3,15
human1_lib1.final_cell_0083,7,2,3,18,7,2,3,18,7,2,3,18,7,2,3,18,7,2,3,1
human1_lib1.final_cell_0084,28,13,14,4,28,13,14,4,28,13,14,4,27,13,14,4,27,13,14,4
human1_lib1.final_cell_0085,23,9,8,15,23,9,8,15,23,9,8,15,23,9,8,15,23,9,8,15
human1_lib1.final_cell_0086,26,4,5,8,26,4,5,8,26,4,5,8,26,4,5,8,26,4,5,1
human1_lib1.final_cell_0087,26,4,5,24,26,4,5,24,26,4,5,24,26,4,5,24,26,4,5,1
human1_lib1.final_cell_0088,7,2,3,3,7,2,3,3,7,2,3,3,7,2,3,3,7,2,3,1
human1_lib1.final_cell_0089,21,20,17,18,21,20,17,18,21,20,17,18,21,20,17,18,21,20,17,1
human1_lib1.final_cell_0090,7,2,3,8,7,2,3,8,7,2,3,8,7,2,3,8,7,2,3,1
human1_lib1.final_cell_0091,7,20,3,8,7,20,3,8,7,20,3,8,7,20,3,8,7,20,3,1
human1_lib1.final_cell_0092,7,2,3,7,7,2,3,7,7,2,3,7,7,2,3,7,7,2,3,7
human1_lib1.final_cell_0093,7,2,3,7,7,2,3,7,7,2,3,7,7,2,3,7,7,2,3,7
human1_lib1.final_cell_0094,8,16,3,6,8,16,3,6,8,16,3,6,8,16,3,6,8,16,3,6
human1_lib1.final_cell_0095,7,21,3,28,7,21,3,28,7,21,3,28,7,21,3,28,7,16,3,28
human1_lib1.final_cell_0096,21,1,17,15,21,1,17,15,21,1,17,15,21,1,17,15,21,1,17,15
human1_lib1.final_cell_0097,7,2,3,26,7,2,3,26,7,2,3,26,7,2,3,26,7,2,3,26
human1_lib1.final_cell_0098,26,4,5,18,26,4,5,18,26,4,5,18,26,4,5,18,26,4,5,1
human1_lib1.final_cell_0099,26,4,5,9,26,4,5,9,26,4,5,9,26,4,5,9,26,4,5,9
human1_lib1.final_cell_0100,7,2,3,2,7,2,3,2,7,2,3,2,7,2,3,2,7,2,3,2
human1_lib1.final_cell_0101,26,4,5,23,26,4,5,23,26,4,5,23,26,4,5,23,26,4,5,23
human1_lib1.final_cell_0102,6,12,7,5,6,12,7,5,6,12,4,5,4,12,4,5,2,12,4,1
human1_lib1.final_cell_0103,3,14,7,22,3,14,7,22,3,7,4,22,1,7,4,22,1,7,4,1
human1_lib1.final_cell_0104,26,4,5,11,26,4,5,11,26,4,5,11,26,4,5,11,26,4,5,11
human1_lib1.final_cell_0105,7,2,3,25,7,2,3,25,7,2,3,25,7,2,3,25,7,2,3,1
