cells,sc3-Initial,Monocle-Initial,Seurat-Initial,garbage1-Initial,garbage2-Initial,sc3-33,Monocle-33,Seurat-33,garbage1-33,garbage2-33,sc3-66,Monocle-66,Seurat-66,garbage1-66,garbage2-66,sc3-90,Monocle-90,Seurat-90,garbage1-90,garbage2-90,sc3-Final,Monocle-Final,Seurat-Final,garbage1-Final,garbage2-Final
human1_lib1.final_cell_0001,28,13,14,13,3,28,13,14,13,3,27,13,14,13,3,27,13,14,13,2,27,13,14,13,2
human1_lib1.final_cell_0002,24,13,14,23,22,24,13,14,23,22,24,13,14,23,22,24,13,14,23,2,24,13,14,23,2
human1_lib1.final_cell_0003,28,13,14,27,3,28,13,14,27,3,27,13,14,27,3,27,13,14,1,2,27,13,14,1,2
human1_lib1.final_cell_0004,28,13,14,23,15,28,13,14,23,15,27,13,14,23,15,27,13,14,23,2,27,13,14,23,2
human1_lib1.final_cell_0005,28,13,14,20,13,28,13,14,20,13,27,13,14,20,13,27,13,14,20,2,27,13,14,20,2
human1_lib1.final_cell_0006,24,13,14,10,5,24,13,14,10,5,24,13,14,10,5,24,13,14,10,2,24,13,14,10,2
human1_lib1.final_cell_0007,7,20,3,21,13,7,20,3,21,13,7,20,3,21,13,7,20,3,1,2,7,20,3,1,2
human1_lib1.final_cell_0008,28,13,14,19,19,28,13,14,19,19,27,13,14,19,19,27,13,14,19,19,27,13,14,19,19
human1_lib1.final_cell_0009,24,13,14,16,28,24,13,14,16,28,24,13,14,16,28,24,13,14,16,2,24,13,14,16,2
human1_lib1.final_cell_0010,28,13,14,22,26,28,13,14,22,26,27,13,14,22,26,27,13,14,1,2,27,13,14,1,2
human1_lib1.final_cell_0011,28,13,14,27,3,28,13,14,27,3,27,13,14,27,3,27,13,14,1,2,27,13,14,1,2
human1_lib1.final_cell_0012,28,17,14,25,12,28,13,14,25,12,27,13,14,25,12,27,13,14,1,12,27,13,14,1,12
human1_lib1.final_cell_0013,26,4,5,12,19,26,4,5,12,19,26,4,5,12,19,26,4,5,12,19,26,4,5,12,19
human1_lib1.final_cell_0014,26,4,5,28,8,26,4,5,28,8,26,4,5,28,8,26,4,5,1,8,26,4,5,1,8
human1_lib1.final_cell_0015,21,1,17,4,18,21,1,17,4,18,21,1,17,4,18,21,1,17,4,18,21,1,17,4,18
human1_lib1.final_cell_0016,23,9,8,13,23,23,9,8,13,23,23,9,8,13,23,23,3,8,13,2,23,3,8,13,2
human1_lib1.final_cell_0017,7,20,3,7,14,7,20,3,7,14,7,20,3,7,14,7,20,3,7,14,7,20,3,7,14
human1_lib1.final_cell_0018,28,13,14,23,16,28,13,14,23,16,27,13,14,23,16,27,13,14,23,16,27,13,14,23,16
human1_lib1.final_cell_0019,16,15,11,15,6,16,15,11,15,6,16,15,11,15,6,16,15,11,1,6,16,15,11,1,6
human1_lib1.final_cell_0020,7,2,3,5,11,7,2,3,5,11,7,2,3,5,11,7,2,3,1,11,7,2,3,1,11
human1_lib1.final_cell_0021,7,2,3,11,19,7,2,3,11,19,7,2,3,11,19,7,2,3,11,19,7,2,3,11,19
human1_lib1.final_cell_0022,6,12,7,17,16,6,12,7,17,16,4,12,4,17,16,2,12,4,17,16,2,12,4,17,16
human1_lib1.final_cell_0023,7,15,9,6,23,7,15,9,6,23,7,15,9,6,23,7,15,9,6,2,7,15,9,6,2
human1_lib1.final_cell_0024,7,2,3,6,5,7,2,3,6,5,7,2,3,6,5,7,2,3,6,2,7,2,3,6,2
human1_lib1.final_cell_0025,26,4,5,20,25,26,4,5,20,25,26,4,5,20,25,26,4,5,20,2,26,4,5,20,2
human1_lib1.final_cell_0026,3,18,7,15,3,3,12,7,15,3,3,12,4,15,3,1,12,4,1,2,1,12,4,1,2
