cells,sc3-00,Monocle-00,Seurat-00,Garbage1-00,Garbage2-00,sc3-05,Monocle-05,Seurat-05,Garbage1-05,Garbage2-05,sc3-10,Monocle-10,Seurat-10,Garbage1-10,Garbage2-10,sc3-15,Monocle-15,Seurat-15,Garbage1-15,Garbage2-15,sc3-20,Monocle-20,Seurat-20,Garbage1-20,Garbage2-20,sc3-25,Monocle-25,Seurat-25,Garbage1-25,Garbage2-25,sc3-30,Monocle-30,Seurat-30,Garbage1-30,Garbage2-30,sc3-35,Monocle-35,Seurat-35,Garbage1-35,Garbage2-35,sc3-40,Monocle-40,Seurat-40,Garbage1-40,Garbage2-40,sc3-45,Monocle-45,Seurat-45,Garbage1-45,Garbage2-45,sc3-50,Monocle-50,Seurat-50,Garbage1-50,Garbage2-50,sc3-55,Monocle-55,Seurat-55,Garbage1-55,Garbage2-55,sc3-60,Monocle-60,Seurat-60,Garbage1-60,Garbage2-60,sc3-65,Monocle-65,Seurat-65,Garbage1-65,Garbage2-65,sc3-70,Monocle-70,Seurat-70,Garbage1-70,Garbage2-70,sc3-75,Monocle-75,Seurat-75,Garbage1-75,Garbage2-75,sc3-80,Monocle-80,Seurat-80,Garbage1-80,Garbage2-80,sc3-85,Monocle-85,Seurat-85,Garbage1-85,Garbage2-85,sc3-90,Monocle-90,Seurat-90,Garbage1-90,Garbage2-90,sc3-95,Monocle-95,Seurat-95,Garbage1-95,Garbage2-95,sc3-100,Monocle-100,Seurat-100,Garbage1-100,Garbage2-100
HP1502401_A10,16,8,17,18,11,16,8,17,18,11,16,8,17,18,11,16,8,17,18,11,16,8,17,18,11,16,8,17,18,11,16,8,17,18,11,16,8,17,18,11,16,8,17,18,11,16,8,17,18,11,16,8,17,18,11,16,8,17,18,11,16,8,17,18,11,16,8,17,18,11,16,8,17,18,11,16,8,17,18,11,16,8,11,18,11,16,8,11,18,9,16,8,11,18,2,16,8,11,18,2,16,8,11,1,2
HP1502401_A12,6,12,1,4,18,6,12,1,4,18,6,12,1,4,18,6,12,1,4,18,6,12,1,4,18,6,12,1,4,18,6,12,1,4,18,6,12,1,4,18,6,12,1,4,18,6,12,1,4,18,6,12,1,4,18,6,12,1,4,18,6,12,1,4,18,6,12,1,4,18,6,12,1,4,18,6,12,1,4,18,6,12,1,4,18,6,12,1,4,9,6,12,1,4,2,6,12,1,4,2,6,12,1,1,2
HP1502401_A14,12,13,12,12,15,12,13,12,12,15,12,13,12,12,15,12,13,12,12,15,12,13,12,12,15,12,13,12,12,15,12,13,12,12,15,12,13,12,12,15,12,13,12,12,15,12,13,12,12,15,12,13,12,12,15,12,13,12,12,15,12,13,12,12,15,12,13,12,12,15,11,13,8,12,15,11,13,8,12,15,11,13,8,12,15,11,13,8,12,15,11,13,8,12,15,11,13,8,12,15,3,13,8,12,15
HP1502401_A15,6,12,10,2,23,6,12,10,2,23,6,12,10,2,23,6,12,10,2,23,6,12,10,2,23,6,12,10,2,23,6,12,10,2,23,6,12,10,2,23,6,12,10,2,23,6,12,10,2,23,6,12,10,2,23,6,12,10,2,23,6,12,10,2,23,6,12,10,2,23,6,12,10,2,23,6,12,10,2,23,6,12,10,2,23,6,12,10,2,23,6,12,10,2,23,6,12,10,2,23,6,12,10,1,23
HP1502401_A17,6,3,1,8,23,6,3,1,8,23,6,3,1,8,23,6,3,1,8,23,6,3,1,8,23,6,3,1,8,23,6,3,1,8,23,6,3,1,8,23,6,3,1,8,23,6,3,1,8,23,6,3,1,8,23,6,3,1,8,23,6,3,1,8,23,6,3,1,8,23,6,3,1,8,23,6,3,1,8,23,6,3,1,8,23,6,3,1,8,23,6,3,1,8,23,6,3,1,1,23,6,3,1,1,23
HP1502401_A18,13,6,7,24,15,13,6,7,24,15,13,6,7,24,15,13,6,7,24,15,13,6,7,24,15,13,6,7,24,15,13,6,7,24,15,13,6,7,24,15,13,6,7,24,15,13,6,7,24,15,13,6,7,24,15,13,6,7,24,15,13,6,7,24,15,13,6,7,24,15,13,6,7,24,15,13,6,7,24,15,13,6,7,24,15,13,6,7,24,15,13,6,7,24,15,13,6,7,24,15,13,6,7,24,15
HP1502401_A2,13,6,7,2,6,13,6,7,2,6,13,6,7,2,6,13,6,7,2,6,13,6,7,2,6,13,6,7,2,6,13,6,7,2,6,13,6,7,2,6,13,6,7,2,6,13,6,7,2,6,13,6,7,2,6,13,6,7,2,6,13,6,7,2,6,13,6,7,2,6,13,6,7,2,6,13,6,7,2,6,13,6,7,2,6,13,6,7,2,6,13,6,7,2,6,13,6,7,2,6,13,6,7,1,2
HP1502401_A20,18,12,14,8,5,18,12,14,8,5,18,12,14,8,5,18,12,14,8,5,18,12,14,8,5,18,12,14,8,5,18,12,14,8,5,18,12,14,8,5,18,12,14,8,5,18,12,14,8,5,18,12,14,8,5,18,12,14,8,5,18,12,14,8,5,18,12,14,8,5,18,12,14,8,5,18,12,14,8,5,18,12,14,8,5,18,12,14,8,5,18,12,14,8,2,18,12,6,1,2,18,12,6,1,2
HP1502401_A21,18,12,14,12,21,18,12,14,12,21,18,12,14,12,21,18,12,14,12,21,18,12,14,12,21,18,12,14,12,21,18,12,14,12,21,18,12,14,12,21,18,12,14,12,21,18,12,14,12,21,18,12,14,12,21,18,12,14,12,21,18,12,14,12,21,18,12,14,12,21,18,12,14,12,21,18,12,14,12,21,18,12,14,12,21,18,12,14,12,21,18,12,14,12,2,18,12,6,12,2,18,12,6,12,2
HP1502401_A22,12,13,12,21,7,12,13,12,21,7,12,13,12,21,7,12,13,12,21,7,12,13,12,21,7,12,13,12,21,7,12,13,12,21,7,12,13,12,21,7,12,13,12,21,7,12,13,12,21,7,12,13,12,21,7,12,13,12,21,7,12,13,12,21,7,12,13,12,21,7,11,13,8,21,7,11,13,8,21,7,11,13,8,21,7,11,13,8,21,7,11,13,8,21,7,11,13,8,21,2,3,13,8,1,2
HP1502401_A23,18,12,14,19,6,18,12,14,19,6,18,12,14,19,6,18,12,14,19,6,18,12,14,19,6,18,12,14,19,6,18,12,14,19,6,18,12,14,19,6,18,12,14,19,6,18,12,14,19,6,18,12,14,19,6,18,12,14,19,6,18,12,14,19,6,18,12,14,19,6,18,12,14,19,6,18,12,14,19,6,18,12,14,19,6,18,12,14,19,6,18,12,14,19,6,18,12,6,1,6,18,12,6,1,2
HP1502401_A24,13,6,7,6,16,13,6,7,6,16,13,6,7,6,16,13,6,7,6,16,13,6,7,6,16,13,6,7,6,16,13,6,7,6,16,13,6,7,6,16,13,6,7,6,16,13,6,7,6,16,13,6,7,6,16,13,6,7,6,16,13,6,7,6,16,13,6,7,6,16,13,6,7,6,16,13,6,7,6,16,13,6,7,6,16,13,6,7,6,9,13,6,7,1,2,13,6,7,1,2,13,6,7,1,2
HP1502401_A4,6,3,3,7,24,6,3,3,7,24,6,3,3,7,24,6,3,3,7,24,6,3,3,7,24,6,3,3,7,24,6,3,3,7,24,6,3,3,7,24,6,3,3,7,24,6,3,3,7,24,6,3,3,7,24,6,3,3,7,24,6,3,3,7,24,6,3,3,7,24,6,3,3,7,24,6,3,3,7,24,6,3,3,7,24,6,3,3,7,24,6,3,3,7,24,6,3,3,7,24,6,3,3,7,2
