"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Monocle.00" 6 63 1001 11082 0.0869565217391304 0.082843664652818 "Monocle" "00"
"2" "Monocle.05" 4 55 896 11187 0.0677966101694915 0.0741537697591658 "Monocle" "05"
"3" "Monocle.1" 6 42 1246 10837 0.125 0.10312008607134 "Monocle" "1"
"4" "Monocle.15" 6 40 1246 10837 0.130434782608696 0.10312008607134 "Monocle" "15"
"5" "Monocle.2" 6 39 1246 10837 0.133333333333333 0.10312008607134 "Monocle" "2"
"6" "Monocle.25" 6 37 1246 10837 0.13953488372093 0.10312008607134 "Monocle" "25"
"7" "Monocle.3" 6 32 1082 11001 0.157894736842105 0.0895472978564926 "Monocle" "3"
"8" "Monocle.35" 6 22 1961 10122 0.214285714285714 0.162294132251924 "Monocle" "35"
"9" "Monocle.4" 4 22 2177 9906 0.153846153846154 0.180170487461723 "Monocle" "4"
"10" "Monocle.45" 4 20 2177 9906 0.166666666666667 0.180170487461723 "Monocle" "45"
"11" "Monocle.5" 4 14 886 11197 0.222222222222222 0.0733261607216751 "Monocle" "5"
"12" "Monocle.55" 2 15 511 11572 0.117647058823529 0.0422908218157742 "Monocle" "55"
"13" "Monocle.6" 2 10 511 11572 0.166666666666667 0.0422908218157742 "Monocle" "6"
"14" "sc3.00" 6 86 1066 11017 0.0652173913043478 0.0882231233965075 "sc3" "00"
"15" "sc3.05" 6 70 1072 11011 0.0789473684210526 0.0887196888190019 "sc3" "05"
"16" "sc3.1" 4 65 816 11267 0.0579710144927536 0.0675328974592403 "sc3" "1"
"17" "sc3.15" 0 55 0 12083 0 0 "sc3" "15"
"18" "sc3.2" 0 46 0 12083 0 0 "sc3" "2"
"19" "sc3.25" 0 41 0 12083 0 0 "sc3" "25"
"20" "sc3.3" 0 31 0 12083 0 0 "sc3" "3"
"21" "sc3.35" 0 27 0 12083 0 0 "sc3" "35"
"22" "sc3.4" 0 24 0 12083 0 0 "sc3" "4"
"23" "sc3.45" 0 21 0 12083 0 0 "sc3" "45"
"24" "sc3.5" 0 14 0 12083 0 0 "sc3" "5"
"25" "sc3.55" 2 8 499 11584 0.2 0.0412976909707854 "sc3" "55"
"26" "Seurat.00" 6 42 911 11172 0.125 0.0753951833154018 "Seurat" "00"
"27" "Seurat.05" 6 41 911 11172 0.127659574468085 0.0753951833154018 "Seurat" "05"
"28" "Seurat.1" 6 41 911 11172 0.127659574468085 0.0753951833154018 "Seurat" "1"
"29" "Seurat.15" 4 40 636 11447 0.0909090909090909 0.0526359347844078 "Seurat" "15"
"30" "Seurat.2" 6 30 1084 10999 0.166666666666667 0.0897128196639907 "Seurat" "2"
"31" "Seurat.25" 4 28 814 11269 0.125 0.0673673756517421 "Seurat" "25"
"32" "Seurat.3" 2 25 448 11635 0.0740740740740741 0.0370768848795829 "Seurat" "3"
"33" "Seurat.35" 2 25 448 11635 0.0740740740740741 0.0370768848795829 "Seurat" "35"
"34" "Seurat.4" 2 23 448 11635 0.08 0.0370768848795829 "Seurat" "4"
"35" "Seurat.45" 6 15 2792 9291 0.285714285714286 0.2310684432674 "Seurat" "45"
"36" "Seurat.5" 6 12 4325 7758 0.333333333333333 0.357940908714723 "Seurat" "5"
"37" "Seurat.55" 2 14 717 11366 0.125 0.0593395679880824 "Seurat" "55"
"38" "Seurat.6" 2 12 717 11366 0.142857142857143 0.0593395679880824 "Seurat" "6"
"39" "Seurat.65" 2 12 717 11366 0.142857142857143 0.0593395679880824 "Seurat" "65"
