"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Monocle_0" 6 51 848 9857 0.105263157894737 0.0792153199439514 "Monocle_0" NA
"2" "Monocle_1" 6 49 848 9857 0.109090909090909 0.0792153199439514 "Monocle_1" NA
"3" "Monocle_10" 4 33 869 9836 0.108108108108108 0.0811770200840729 "Monocle_10" NA
"4" "Monocle_11" 4 31 891 9814 0.114285714285714 0.083232134516581 "Monocle_11" NA
"5" "Monocle_12" 4 29 1631 9074 0.121212121212121 0.152358710882765 "Monocle_12" NA
"6" "Monocle_13" 4 27 1631 9074 0.129032258064516 0.152358710882765 "Monocle_13" NA
"7" "Monocle_14" 4 25 1519 9186 0.137931034482759 0.141896310135451 "Monocle_14" NA
"8" "Monocle_15" 2 25 1329 9376 0.0740740740740741 0.124147594581971 "Monocle_15" NA
"9" "Monocle_16" 0 25 0 10705 0 0 "Monocle_16" NA
"10" "Monocle_17" 0 23 0 10705 0 0 "Monocle_17" NA
"11" "Monocle_18" 0 21 0 10705 0 0 "Monocle_18" NA
"12" "Monocle_2" 6 47 881 9824 0.113207547169811 0.0822979915927137 "Monocle_2" NA
"13" "Monocle_3" 6 45 881 9824 0.117647058823529 0.0822979915927137 "Monocle_3" NA
"14" "Monocle_4" 4 45 603 10102 0.0816326530612245 0.0563288183092013 "Monocle_4" NA
"15" "Monocle_5" 4 43 603 10102 0.0851063829787234 0.0563288183092013 "Monocle_5" NA
"16" "Monocle_6" 4 41 603 10102 0.0888888888888889 0.0563288183092013 "Monocle_6" NA
"17" "Monocle_7" 2 41 348 10357 0.0465116279069767 0.0325081737505838 "Monocle_7" NA
"18" "Monocle_8" 2 39 348 10357 0.0487804878048781 0.0325081737505838 "Monocle_8" NA
"19" "Monocle_9" 4 35 869 9836 0.102564102564103 0.0811770200840729 "Monocle_9" NA
"20" "sc3_0" 6 47 1153 9552 0.113207547169811 0.107706679121906 "sc3_0" NA
"21" "sc3_1" 6 45 1153 9552 0.117647058823529 0.107706679121906 "sc3_1" NA
"22" "sc3_10" 4 29 2368 8337 0.121212121212121 0.221205044371789 "sc3_10" NA
"23" "sc3_11" 2 29 1214 9491 0.0645161290322581 0.113404950957497 "sc3_11" NA
"24" "sc3_12" 2 27 1214 9491 0.0689655172413793 0.113404950957497 "sc3_12" NA
"25" "sc3_13" 2 25 1376 9329 0.0740740740740741 0.128538066324148 "sc3_13" NA
"26" "sc3_14" 2 23 1566 9139 0.08 0.146286781877627 "sc3_14" NA
"27" "sc3_15" 2 21 1812 8893 0.0869565217391304 0.169266697804764 "sc3_15" NA
"28" "sc3_16" 4 17 3522 7183 0.19047619047619 0.329005137786081 "sc3_16" NA
"29" "sc3_17" 2 17 1812 8893 0.105263157894737 0.169266697804764 "sc3_17" NA
"30" "sc3_18" 2 15 1812 8893 0.117647058823529 0.169266697804764 "sc3_18" NA
"31" "sc3_19" 2 13 1812 8893 0.133333333333333 0.169266697804764 "sc3_19" NA
"32" "sc3_2" 6 43 1153 9552 0.122448979591837 0.107706679121906 "sc3_2" NA
"33" "sc3_20" 2 11 4026 6679 0.153846153846154 0.376085941148996 "sc3_20" NA
"34" "sc3_3" 4 43 1154 9551 0.0851063829787234 0.107800093414292 "sc3_3" NA
"35" "sc3_4" 6 39 2461 8244 0.133333333333333 0.229892573563755 "sc3_4" NA
"36" "sc3_5" 6 37 2485 8220 0.13953488372093 0.232134516581037 "sc3_5" NA
"37" "sc3_6" 6 35 2485 8220 0.146341463414634 0.232134516581037 "sc3_6" NA
"38" "sc3_7" 6 33 2485 8220 0.153846153846154 0.232134516581037 "sc3_7" NA
"39" "sc3_8" 6 31 2485 8220 0.162162162162162 0.232134516581037 "sc3_8" NA
