"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Monocle.00" 6 28 1776 8929 0.176470588235294 0.165903783278842 "Monocle" "00"
"2" "Monocle.05" 6 27 1776 8929 0.181818181818182 0.165903783278842 "Monocle" "05"
"3" "Monocle.10" 6 26 1776 8929 0.1875 0.165903783278842 "Monocle" "10"
"4" "Monocle.100" 10 17 3981 6724 0.37037037037037 0.371882297991593 "Monocle" "100"
"5" "Monocle.15" 8 23 2703 8002 0.258064516129032 0.252498832321345 "Monocle" "15"
"6" "Monocle.20" 8 23 2703 8002 0.258064516129032 0.252498832321345 "Monocle" "20"
"7" "Monocle.25" 8 23 2703 8002 0.258064516129032 0.252498832321345 "Monocle" "25"
"8" "Monocle.30" 10 20 3074 7631 0.333333333333333 0.287155534796824 "Monocle" "30"
"9" "Monocle.35" 10 20 3074 7631 0.333333333333333 0.287155534796824 "Monocle" "35"
"10" "Monocle.40" 10 20 3074 7631 0.333333333333333 0.287155534796824 "Monocle" "40"
"11" "Monocle.45" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" "45"
"12" "Monocle.50" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" "50"
"13" "Monocle.55" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" "55"
"14" "Monocle.60" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" "60"
"15" "Monocle.65" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" "65"
"16" "Monocle.70" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" "70"
"17" "Monocle.75" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" "75"
"18" "Monocle.80" 10 18 3670 7035 0.357142857142857 0.342830453059318 "Monocle" "80"
"19" "Monocle.85" 10 17 3981 6724 0.37037037037037 0.371882297991593 "Monocle" "85"
"20" "Monocle.90" 10 17 3981 6724 0.37037037037037 0.371882297991593 "Monocle" "90"
"21" "Monocle.95" 10 17 3981 6724 0.37037037037037 0.371882297991593 "Monocle" "95"
"22" "sc3.00" 6 47 1153 9552 0.113207547169811 0.107706679121906 "sc3" "00"
"23" "sc3.05" 6 46 1153 9552 0.115384615384615 0.107706679121906 "sc3" "05"
"24" "sc3.10" 6 46 1153 9552 0.115384615384615 0.107706679121906 "sc3" "10"
"25" "sc3.100" 10 27 3752 6953 0.27027027027027 0.35049042503503 "sc3" "100"
"26" "sc3.15" 6 46 1153 9552 0.115384615384615 0.107706679121906 "sc3" "15"
"27" "sc3.20" 6 46 1153 9552 0.115384615384615 0.107706679121906 "sc3" "20"
"28" "sc3.25" 6 45 1153 9552 0.117647058823529 0.107706679121906 "sc3" "25"
"29" "sc3.30" 6 44 1360 9345 0.12 0.12704343764596 "sc3" "30"
"30" "sc3.35" 6 44 1360 9345 0.12 0.12704343764596 "sc3" "35"
"31" "sc3.40" 6 44 1360 9345 0.12 0.12704343764596 "sc3" "40"
"32" "sc3.45" 6 44 1360 9345 0.12 0.12704343764596 "sc3" "45"
"33" "sc3.50" 6 44 1360 9345 0.12 0.12704343764596 "sc3" "50"
"34" "sc3.55" 6 44 1360 9345 0.12 0.12704343764596 "sc3" "55"
"35" "sc3.60" 6 44 1360 9345 0.12 0.12704343764596 "sc3" "60"
"36" "sc3.65" 6 44 1360 9345 0.12 0.12704343764596 "sc3" "65"
"37" "sc3.70" 6 43 1360 9345 0.122448979591837 0.12704343764596 "sc3" "70"
"38" "sc3.75" 8 39 1727 8978 0.170212765957447 0.161326482951892 "sc3" "75"
"39" "sc3.80" 10 33 3000 7705 0.232558139534884 0.280242877160206 "sc3" "80"
"40" "sc3.85" 10 30 3752 6953 0.25 0.35049042503503 "sc3" "85"
"41" "sc3.90" 10 28 3752 6953 0.263157894736842 0.35049042503503 "sc3" "90"
"42" "sc3.95" 10 28 3752 6953 0.263157894736842 0.35049042503503 "sc3" "95"
"43" "Seurat.00" 4 34 1192 9513 0.105263157894737 0.111349836524988 "Seurat" "00"
"44" "Seurat.05" 4 34 1192 9513 0.105263157894737 0.111349836524988 "Seurat" "05"
"45" "Seurat.10" 4 34 1192 9513 0.105263157894737 0.111349836524988 "Seurat" "10"
"46" "Seurat.100" 8 21 3523 7182 0.275862068965517 0.329098552078468 "Seurat" "100"
"47" "Seurat.15" 4 34 1192 9513 0.105263157894737 0.111349836524988 "Seurat" "15"
"48" "Seurat.20" 4 34 1192 9513 0.105263157894737 0.111349836524988 "Seurat" "20"
"49" "Seurat.25" 4 34 1192 9513 0.105263157894737 0.111349836524988 "Seurat" "25"
"50" "Seurat.30" 4 34 1192 9513 0.105263157894737 0.111349836524988 "Seurat" "30"
"51" "Seurat.35" 4 33 1393 9312 0.108108108108108 0.130126109294722 "Seurat" "35"
"52" "Seurat.40" 4 33 1393 9312 0.108108108108108 0.130126109294722 "Seurat" "40"
"53" "Seurat.45" 4 33 1393 9312 0.108108108108108 0.130126109294722 "Seurat" "45"
"54" "Seurat.50" 4 33 1393 9312 0.108108108108108 0.130126109294722 "Seurat" "50"
