"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Monocle.33" 6 57 1001 11082 0.0952380952380952 0.082843664652818 "Monocle" "33"
"2" "Monocle.66" 6 49 1511 10572 0.109090909090909 0.125051725564843 "Monocle" "66"
"3" "Monocle.90" 6 47 1548 10535 0.113207547169811 0.128113879003559 "Monocle" "90"
"4" "Monocle.Final" 10 33 3567 8516 0.232558139534884 0.295208143672929 "Monocle" "Final"
"5" "Monocle.Initial" 6 63 1001 11082 0.0869565217391304 0.082843664652818 "Monocle" "Initial"
"6" "sc3.33" 6 84 1066 11017 0.0666666666666667 0.0882231233965075 "sc3" "33"
"7" "sc3.66" 6 80 1453 10630 0.0697674418604651 0.120251593147397 "sc3" "66"
"8" "sc3.90" 8 64 997 11086 0.111111111111111 0.0825126210378217 "sc3" "90"
"9" "sc3.Final" 6 43 1884 10199 0.122448979591837 0.155921542663246 "sc3" "Final"
"10" "sc3.Initial" 6 86 1066 11017 0.0652173913043478 0.0882231233965075 "sc3" "Initial"
"11" "Seurat.33" 6 42 911 11172 0.125 0.0753951833154018 "Seurat" "33"
"12" "Seurat.66" 10 36 2216 9867 0.217391304347826 0.183398162707937 "Seurat" "66"
"13" "Seurat.90" 10 36 2216 9867 0.217391304347826 0.183398162707937 "Seurat" "90"
"14" "Seurat.Final" 8 33 2179 9904 0.195121951219512 0.180336009269221 "Seurat" "Final"
"15" "Seurat.Initial" 6 42 911 11172 0.125 0.0753951833154018 "Seurat" "Initial"
