"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Monocle.00" 4 45 1077 9628 0.0816326530612245 0.100607192900514 "Monocle" "00"
"2" "Monocle.05" 4 44 1077 9628 0.0833333333333333 0.100607192900514 "Monocle" "05"
"3" "Monocle.10" 4 42 1077 9628 0.0869565217391304 0.100607192900514 "Monocle" "10"
"4" "Monocle.100" 10 15 4675 6030 0.4 0.436711816907987 "Monocle" "100"
"5" "Monocle.15" 4 40 1077 9628 0.0909090909090909 0.100607192900514 "Monocle" "15"
"6" "Monocle.20" 4 37 1077 9628 0.0975609756097561 0.100607192900514 "Monocle" "20"
"7" "Monocle.25" 8 31 3187 7518 0.205128205128205 0.297711349836525 "Monocle" "25"
"8" "Monocle.30" 8 29 3187 7518 0.216216216216216 0.297711349836525 "Monocle" "30"
"9" "Monocle.35" 6 29 2823 7882 0.171428571428571 0.263708547407753 "Monocle" "35"
"10" "Monocle.40" 8 26 3194 7511 0.235294117647059 0.298365249883232 "Monocle" "40"
"11" "Monocle.45" 10 21 4302 6403 0.32258064516129 0.401868285847735 "Monocle" "45"
"12" "Monocle.50" 10 21 4302 6403 0.32258064516129 0.401868285847735 "Monocle" "50"
"13" "Monocle.55" 10 19 4367 6338 0.344827586206897 0.407940214852872 "Monocle" "55"
"14" "Monocle.60" 10 17 4458 6247 0.37037037037037 0.416440915460065 "Monocle" "60"
"15" "Monocle.65" 10 16 4458 6247 0.384615384615385 0.416440915460065 "Monocle" "65"
"16" "Monocle.70" 10 16 4458 6247 0.384615384615385 0.416440915460065 "Monocle" "70"
"17" "Monocle.75" 10 15 4675 6030 0.4 0.436711816907987 "Monocle" "75"
"18" "Monocle.80" 10 15 4675 6030 0.4 0.436711816907987 "Monocle" "80"
"19" "Monocle.85" 10 15 4675 6030 0.4 0.436711816907987 "Monocle" "85"
"20" "Monocle.90" 10 15 4675 6030 0.4 0.436711816907987 "Monocle" "90"
"21" "Monocle.95" 10 15 4675 6030 0.4 0.436711816907987 "Monocle" "95"
"22" "sc3.00" 6 67 1015 9690 0.0821917808219178 0.0948155067725362 "sc3" "00"
"23" "sc3.05" 6 65 1015 9690 0.0845070422535211 0.0948155067725362 "sc3" "05"
"24" "sc3.10" 6 65 1015 9690 0.0845070422535211 0.0948155067725362 "sc3" "10"
"25" "sc3.100" 8 23 2799 7906 0.258064516129032 0.261466604390472 "sc3" "100"
"26" "sc3.15" 6 65 1015 9690 0.0845070422535211 0.0948155067725362 "sc3" "15"
"27" "sc3.20" 6 65 1015 9690 0.0845070422535211 0.0948155067725362 "sc3" "20"
"28" "sc3.25" 6 65 1015 9690 0.0845070422535211 0.0948155067725362 "sc3" "25"
"29" "sc3.30" 8 62 1452 9253 0.114285714285714 0.135637552545539 "sc3" "30"
"30" "sc3.35" 8 61 1452 9253 0.115942028985507 0.135637552545539 "sc3" "35"
"31" "sc3.40" 8 60 1452 9253 0.117647058823529 0.135637552545539 "sc3" "40"
