"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Monocle.00" 6 51 848 9857 0.105263157894737 0.0792153199439514 "Monocle" "00"
"2" "Monocle.05" 6 50 848 9857 0.107142857142857 0.0792153199439514 "Monocle" "05"
"3" "Monocle.10" 6 49 848 9857 0.109090909090909 0.0792153199439514 "Monocle" "10"
"4" "Monocle.100" 6 31 1538 9167 0.162162162162162 0.143671181690799 "Monocle" "100"
"5" "Monocle.15" 6 47 848 9857 0.113207547169811 0.0792153199439514 "Monocle" "15"
"6" "Monocle.20" 6 47 848 9857 0.113207547169811 0.0792153199439514 "Monocle" "20"
"7" "Monocle.25" 6 46 848 9857 0.115384615384615 0.0792153199439514 "Monocle" "25"
"8" "Monocle.30" 6 46 848 9857 0.115384615384615 0.0792153199439514 "Monocle" "30"
"9" "Monocle.35" 6 46 848 9857 0.115384615384615 0.0792153199439514 "Monocle" "35"
"10" "Monocle.40" 6 45 848 9857 0.117647058823529 0.0792153199439514 "Monocle" "40"
"11" "Monocle.45" 6 45 848 9857 0.117647058823529 0.0792153199439514 "Monocle" "45"
"12" "Monocle.50" 6 44 848 9857 0.12 0.0792153199439514 "Monocle" "50"
"13" "Monocle.55" 6 44 848 9857 0.12 0.0792153199439514 "Monocle" "55"
"14" "Monocle.60" 6 43 848 9857 0.122448979591837 0.0792153199439514 "Monocle" "60"
"15" "Monocle.65" 6 42 848 9857 0.125 0.0792153199439514 "Monocle" "65"
"16" "Monocle.70" 6 41 848 9857 0.127659574468085 0.0792153199439514 "Monocle" "70"
"17" "Monocle.75" 6 41 848 9857 0.127659574468085 0.0792153199439514 "Monocle" "75"
"18" "Monocle.80" 8 37 1645 9060 0.177777777777778 0.153666510976179 "Monocle" "80"
"19" "Monocle.85" 8 35 1713 8992 0.186046511627907 0.160018682858477 "Monocle" "85"
"20" "Monocle.90" 8 34 1761 8944 0.19047619047619 0.164502568893041 "Monocle" "90"
"21" "Monocle.95" 6 33 1516 9189 0.153846153846154 0.141616067258291 "Monocle" "95"
"22" "sc3.00" 6 47 1153 9552 0.113207547169811 0.107706679121906 "sc3" "00"
"23" "sc3.05" 6 47 1153 9552 0.113207547169811 0.107706679121906 "sc3" "05"
"24" "sc3.10" 6 47 1153 9552 0.113207547169811 0.107706679121906 "sc3" "10"
"25" "sc3.100" 8 34 2475 8230 0.19047619047619 0.23120037365717 "sc3" "100"
"26" "sc3.15" 6 47 1153 9552 0.113207547169811 0.107706679121906 "sc3" "15"
"27" "sc3.20" 6 47 1153 9552 0.113207547169811 0.107706679121906 "sc3" "20"
"28" "sc3.25" 6 47 1153 9552 0.113207547169811 0.107706679121906 "sc3" "25"
"29" "sc3.30" 6 46 1323 9382 0.115384615384615 0.123587108827651 "sc3" "30"
"30" "sc3.35" 6 46 1323 9382 0.115384615384615 0.123587108827651 "sc3" "35"
"31" "sc3.40" 6 46 1323 9382 0.115384615384615 0.123587108827651 "sc3" "40"
"32" "sc3.45" 6 46 1323 9382 0.115384615384615 0.123587108827651 "sc3" "45"
"33" "sc3.50" 6 46 1323 9382 0.115384615384615 0.123587108827651 "sc3" "50"
"34" "sc3.55" 6 46 1323 9382 0.115384615384615 0.123587108827651 "sc3" "55"
"35" "sc3.60" 6 46 1323 9382 0.115384615384615 0.123587108827651 "sc3" "60"
"36" "sc3.65" 6 46 1323 9382 0.115384615384615 0.123587108827651 "sc3" "65"
"37" "sc3.70" 6 46 1323 9382 0.115384615384615 0.123587108827651 "sc3" "70"
"38" "sc3.75" 6 45 1323 9382 0.117647058823529 0.123587108827651 "sc3" "75"
"39" "sc3.80" 6 44 1323 9382 0.12 0.123587108827651 "sc3" "80"
"40" "sc3.85" 6 43 1323 9382 0.122448979591837 0.123587108827651 "sc3" "85"
"41" "sc3.90" 8 40 1690 9015 0.166666666666667 0.157870154133582 "sc3" "90"
"42" "sc3.95" 8 39 1690 9015 0.170212765957447 0.157870154133582 "sc3" "95"
"43" "Seurat.00" 6 47 1183 9522 0.113207547169811 0.110509107893508 "Seurat" "00"
"44" "Seurat.05" 6 46 1248 9457 0.115384615384615 0.116581036898645 "Seurat" "05"
"45" "Seurat.10" 6 46 1248 9457 0.115384615384615 0.116581036898645 "Seurat" "10"
"46" "Seurat.100" 8 30 2515 8190 0.210526315789474 0.234936945352639 "Seurat" "100"
"47" "Seurat.15" 6 46 1248 9457 0.115384615384615 0.116581036898645 "Seurat" "15"
"48" "Seurat.20" 6 45 1248 9457 0.117647058823529 0.116581036898645 "Seurat" "20"
"49" "Seurat.25" 6 45 1248 9457 0.117647058823529 0.116581036898645 "Seurat" "25"
"50" "Seurat.30" 6 45 1248 9457 0.117647058823529 0.116581036898645 "Seurat" "30"
"51" "Seurat.35" 6 44 1444 9261 0.12 0.134890238206446 "Seurat" "35"
"52" "Seurat.40" 6 44 1444 9261 0.12 0.134890238206446 "Seurat" "40"
"53" "Seurat.45" 8 41 2552 8153 0.163265306122449 0.238393274170948 "Seurat" "45"
"54" "Seurat.50" 8 41 2552 8153 0.163265306122449 0.238393274170948 "Seurat" "50"
"55" "Seurat.55" 8 41 2552 8153 0.163265306122449 0.238393274170948 "Seurat" "55"
"56" "Seurat.60" 8 41 2552 8153 0.163265306122449 0.238393274170948 "Seurat" "60"
"57" "Seurat.65" 8 41 2552 8153 0.163265306122449 0.238393274170948 "Seurat" "65"
"58" "Seurat.70" 6 42 2238 8467 0.125 0.209061186361513 "Seurat" "70"
"59" "Seurat.75" 6 40 2238 8467 0.130434782608696 0.209061186361513 "Seurat" "75"
"60" "Seurat.80" 6 40 2238 8467 0.130434782608696 0.209061186361513 "Seurat" "80"
"61" "Seurat.85" 8 34 2515 8190 0.19047619047619 0.234936945352639 "Seurat" "85"
"62" "Seurat.90" 8 34 2515 8190 0.19047619047619 0.234936945352639 "Seurat" "90"
"63" "Seurat.95" 8 33 2515 8190 0.195121951219512 0.234936945352639 "Seurat" "95"
