"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Monocle.k_10" 8 64 943 9762 0.111111111111111 0.0880896777206913 "Monocle" "k_10"
"2" "Monocle.k_100" 6 20 2137 8568 0.230769230769231 0.199626342830453 "Monocle" "k_100"
"3" "Monocle.k_15" 8 53 1133 9572 0.131147540983607 0.105838393274171 "Monocle" "k_15"
"4" "Monocle.k_2" 6 611 70 10635 0.00972447325769854 0.00653900046707146 "Monocle" "k_2"
"5" "Monocle.k_20" 6 51 848 9857 0.105263157894737 0.0792153199439514 "Monocle" "k_20"
"6" "Monocle.k_25" 4 45 1077 9628 0.0816326530612245 0.100607192900514 "Monocle" "k_25"
"7" "Monocle.k_3" 4 216 103 10602 0.0181818181818182 0.00962167211583372 "Monocle" "k_3"
"8" "Monocle.k_30" 4 41 968 9737 0.0888888888888889 0.0904250350303596 "Monocle" "k_30"
"9" "Monocle.k_35" 4 41 972 9733 0.0888888888888889 0.0907986921999066 "Monocle" "k_35"
"10" "Monocle.k_4" 8 137 288 10417 0.0551724137931034 0.0269033162073797 "Monocle" "k_4"
"11" "Monocle.k_40" 2 38 289 10416 0.05 0.0269967304997665 "Monocle" "k_40"
"12" "Monocle.k_45" 4 34 849 9856 0.105263157894737 0.0793087342363382 "Monocle" "k_45"
"13" "Monocle.k_5" 8 103 525 10180 0.0720720720720721 0.049042503503036 "Monocle" "k_5"
"14" "Monocle.k_50" 6 28 1776 8929 0.176470588235294 0.165903783278842 "Monocle" "k_50"
"15" "Monocle.k_55" 4 29 1225 9480 0.121212121212121 0.114432508173751 "Monocle" "k_55"
"16" "Monocle.k_6" 6 103 587 10118 0.055045871559633 0.0548341896310135 "Monocle" "k_6"
"17" "Monocle.k_60" 8 24 2224 8481 0.25 0.207753386268099 "Monocle" "k_60"
"18" "Monocle.k_65" 4 30 1327 9378 0.117647058823529 0.123960765997198 "Monocle" "k_65"
"19" "Monocle.k_7" 6 87 547 10158 0.0645161290322581 0.0510976179355441 "Monocle" "k_7"
"20" "Monocle.k_70" 4 29 1374 9331 0.121212121212121 0.128351237739374 "Monocle" "k_70"
"21" "Monocle.k_75" 4 29 1342 9363 0.121212121212121 0.125361980382999 "Monocle" "k_75"
"22" "Monocle.k_8" 8 78 934 9771 0.0930232558139535 0.0872489490892106 "Monocle" "k_8"
"23" "Monocle.k_80" 8 23 2961 7744 0.258064516129032 0.276599719757123 "Monocle" "k_80"
"24" "Monocle.k_85" 8 23 2835 7870 0.258064516129032 0.264829518916394 "Monocle" "k_85"
"25" "Monocle.k_9" 8 70 1037 9668 0.102564102564103 0.0968706212050444 "Monocle" "k_9"
"26" "Monocle.k_90" 8 22 2876 7829 0.266666666666667 0.26865950490425 "Monocle" "k_90"
"27" "Monocle.k_95" 10 17 3401 7304 0.37037037037037 0.317702008407286 "Monocle" "k_95"
"28" "SC3.-1" 8 43 0 0 0.156862745098039 NA "SC3" "-1"
"29" "SC3.-10" 6 27 0 0 0.181818181818182 NA "SC3" "-10"
