"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Monocle.k_10" 2 95 0 0 0.0206185567010309 NA "Monocle" "k_10"
"2" "Monocle.k_100" 4 27 0 0 0.129032258064516 NA "Monocle" "k_100"
"3" "Monocle.k_15" 2 77 0 0 0.0253164556962025 NA "Monocle" "k_15"
"4" "Monocle.k_2" 0 675 0 0 0 NA "Monocle" "k_2"
"5" "Monocle.k_20" 4 70 0 0 0.0540540540540541 NA "Monocle" "k_20"
"6" "Monocle.k_25" 6 63 0 0 0.0869565217391304 NA "Monocle" "k_25"
"7" "Monocle.k_3" 2 228 0 0 0.00869565217391304 NA "Monocle" "k_3"
"8" "Monocle.k_30" 6 56 0 0 0.0967741935483871 NA "Monocle" "k_30"
"9" "Monocle.k_35" 4 48 0 0 0.0769230769230769 NA "Monocle" "k_35"
"10" "Monocle.k_4" 4 166 0 0 0.0235294117647059 NA "Monocle" "k_4"
"11" "Monocle.k_40" 2 45 0 0 0.0425531914893617 NA "Monocle" "k_40"
"12" "Monocle.k_45" 4 43 0 0 0.0851063829787234 NA "Monocle" "k_45"
"13" "Monocle.k_5" 6 139 0 0 0.0413793103448276 NA "Monocle" "k_5"
"14" "Monocle.k_50" 2 42 0 0 0.0454545454545455 NA "Monocle" "k_50"
"15" "Monocle.k_55" 2 42 0 0 0.0454545454545455 NA "Monocle" "k_55"
"16" "Monocle.k_6" 4 132 0 0 0.0294117647058824 NA "Monocle" "k_6"
"17" "Monocle.k_60" 2 41 0 0 0.0465116279069767 NA "Monocle" "k_60"
"18" "Monocle.k_65" 2 40 0 0 0.0476190476190476 NA "Monocle" "k_65"
"19" "Monocle.k_7" 6 114 0 0 0.05 NA "Monocle" "k_7"
"20" "Monocle.k_70" 2 37 0 0 0.0512820512820513 NA "Monocle" "k_70"
"21" "Monocle.k_75" 2 34 0 0 0.0555555555555556 NA "Monocle" "k_75"
"22" "Monocle.k_8" 2 108 0 0 0.0181818181818182 NA "Monocle" "k_8"
"23" "Monocle.k_80" 4 32 0 0 0.111111111111111 NA "Monocle" "k_80"
"24" "Monocle.k_85" 4 29 0 0 0.121212121212121 NA "Monocle" "k_85"
"25" "Monocle.k_9" 4 100 0 0 0.0384615384615385 NA "Monocle" "k_9"
"26" "Monocle.k_90" 4 27 0 0 0.129032258064516 NA "Monocle" "k_90"
"27" "Monocle.k_95" 4 27 0 0 0.129032258064516 NA "Monocle" "k_95"
"28" "SC3.-1" 4 66 629 11454 0.0571428571428571 0.0520566084581644 "SC3" "-1"
"29" "SC3.-10" 0 52 0 12083 0 0 "SC3" "-10"
"30" "SC3.-11" 4 46 1173 10910 0.08 0.0970785400976579 "SC3" "-11"
"31" "SC3.-2" 4 64 470 11613 0.0588235294117647 0.0388976247620624 "SC3" "-2"
"32" "SC3.-3" 0 66 0 12083 0 0 "SC3" "-3"
"33" "SC3.-4" 6 58 792 11291 0.09375 0.0655466357692626 "SC3" "-4"
"34" "SC3.-5" 2 60 736 11347 0.032258064516129 0.0609120251593147 "SC3" "-5"
