"","k_2","k_3","k_4","k_5","k_6","k_7","k_8","k_9","k_10","k_15","k_20","k_25","k_30","k_35","k_40","k_45","k_50","k_55","k_60","k_65","k_70","k_75","k_80","k_85","k_90","k_95","k_100","cells"
"1",107,2,68,57,21,22,10,36,11,18,30,28,15,9,11,8,2,3,11,14,6,8,16,9,8,5,8,"human1_lib1.final_cell_0001"
"2",107,2,68,57,21,22,10,36,11,18,30,28,15,9,11,8,2,3,11,14,6,8,16,9,8,5,8,"human1_lib1.final_cell_0002"
"3",246,34,33,28,19,20,16,14,25,10,17,21,20,15,9,14,9,16,10,13,10,7,9,9,8,5,8,"human1_lib1.final_cell_0003"
"4",107,2,68,57,21,22,10,36,11,18,30,28,15,9,11,8,2,3,11,14,6,8,16,9,8,5,8,"human1_lib1.final_cell_0004"
"5",107,2,68,57,21,22,10,36,11,18,30,28,15,9,11,8,2,3,11,14,6,8,16,9,8,5,8,"human1_lib1.final_cell_0005"
"6",353,97,68,57,21,22,10,36,11,18,30,28,15,9,11,8,2,3,11,14,6,8,16,15,15,15,15,"human1_lib1.final_cell_0006"
"7",115,6,3,2,5,12,19,12,1,4,2,1,1,1,1,1,12,1,2,1,2,1,2,2,1,2,2,"human1_lib1.final_cell_0007"
"8",225,41,22,22,21,22,10,36,11,18,30,28,15,9,11,8,2,3,11,14,6,8,16,9,8,5,8,"human1_lib1.final_cell_0008"
"9",134,41,22,22,21,22,10,36,11,18,30,28,15,9,11,8,2,3,11,14,6,8,16,9,8,5,8,"human1_lib1.final_cell_0009"
"10",184,50,22,20,14,19,24,21,15,18,16,28,15,11,11,8,15,11,11,14,6,8,9,9,8,5,8,"human1_lib1.final_cell_0010"
"11",107,2,68,57,21,22,10,36,11,18,30,28,15,9,11,8,2,3,11,14,6,8,16,9,8,5,8,"human1_lib1.final_cell_0011"
"12",253,36,21,24,24,21,25,31,26,10,17,21,20,15,9,14,9,16,10,13,10,7,9,9,8,5,8,"human1_lib1.final_cell_0012"
"13",376,88,72,53,40,44,35,45,6,32,21,4,11,20,7,16,16,7,9,4,1,5,11,3,11,10,11,"human1_lib1.final_cell_0013"
"14",361,88,72,53,40,44,40,45,10,32,21,4,11,20,7,16,16,7,9,4,1,5,11,3,11,10,11,"human1_lib1.final_cell_0014"
"15",26,112,16,15,2,11,11,15,1,4,2,2,1,1,1,1,12,1,2,1,2,1,2,2,1,2,4,"human1_lib1.final_cell_0015"
"16",305,113,12,43,50,46,38,40,39,27,27,20,18,14,15,17,19,18,18,18,13,14,12,11,10,9,10,"human1_lib1.final_cell_0016"
"17",414,20,51,47,7,14,39,44,5,30,12,6,9,5,5,4,6,6,4,5,4,2,4,5,3,3,3,"human1_lib1.final_cell_0017"
"18",107,2,68,57,21,22,10,36,11,18,30,28,15,9,11,8,2,3,11,14,6,8,16,9,8,5,8,"human1_lib1.final_cell_0018"
"19",237,87,59,51,45,41,36,20,23,6,22,26,25,19,19,18,17,17,17,16,14,15,14,13,13,13,13,"human1_lib1.final_cell_0019"
"20",17,3,5,5,1,10,4,2,3,2,2,6,5,3,2,21,5,2,3,2,5,6,1,1,2,1,2,"human1_lib1.final_cell_0020"
"21",250,6,3,2,5,12,19,12,1,4,2,1,1,1,1,1,12,1,2,1,2,1,2,2,1,2,2,"human1_lib1.final_cell_0021"
"22",313,49,53,66,47,16,48,37,12,21,13,23,24,13,21,11,10,20,19,11,12,13,13,12,12,11,12,"human1_lib1.final_cell_0022"
"23",237,87,59,51,45,41,36,20,23,6,22,26,25,19,19,18,17,17,17,16,14,15,14,13,13,13,13,"human1_lib1.final_cell_0023"
"24",32,8,23,1,7,3,1,1,2,1,1,3,3,4,3,1,1,1,2,1,2,1,2,2,1,2,2,"human1_lib1.final_cell_0024"
"25",361,88,72,53,40,44,40,45,10,32,21,4,11,20,7,16,16,7,9,4,1,5,11,3,11,10,11,"human1_lib1.final_cell_0025"
"26",313,49,53,66,47,16,48,37,12,21,13,23,24,13,21,11,10,20,19,11,12,13,13,12,12,11,12,"human1_lib1.final_cell_0026"
"27",427,3,5,5,1,10,4,2,3,2,2,6,5,3,2,21,5,2,3,2,5,6,1,1,2,1,2,"human1_lib1.final_cell_0027"
"28",284,38,62,33,18,23,20,13,29,19,16,17,15,11,11,8,15,11,11,14,6,8,9,9,8,5,8,"human1_lib1.final_cell_0028"
"29",107,2,68,57,21,22,10,36,11,18,30,28,15,9,11,8,2,3,11,14,6,8,16,9,8,5,8,"human1_lib1.final_cell_0029"
"30",17,3,5,5,1,10,4,2,3,2,2,1,5,3,2,21,5,2,3,2,5,6,1,1,2,1,2,"human1_lib1.final_cell_0030"
"31",37,100,57,61,44,37,12,10,6,15,18,4,11,20,7,16,16,7,9,4,1,5,11,3,11,10,11,"human1_lib1.final_cell_0031"
"32",352,88,72,53,40,44,35,45,6,32,21,4,11,20,7,16,16,7,9,4,1,5,11,3,11,10,11,"human1_lib1.final_cell_0032"
"33",23,83,55,17,41,40,40,18,10,29,21,4,11,20,7,16,16,7,9,4,1,5,11,3,11,10,11,"human1_lib1.final_cell_0033"
"34",10,83,55,17,41,40,40,18,10,29,21,4,11,20,7,16,16,7,9,4,1,5,11,3,11,10,11,"human1_lib1.final_cell_0034"
"35",380,20,13,47,7,4,1,3,5,7,12,6,9,5,5,4,6,6,4,5,4,2,4,5,3,3,3,"human1_lib1.final_cell_0035"
"36",13,41,22,22,14,22,24,21,15,18,30,28,15,9,11,8,2,3,11,14,6,8,16,9,8,5,8,"human1_lib1.final_cell_0036"
"37",32,8,2,1,5,3,1,1,2,1,1,1,5,4,3,21,5,2,3,2,5,6,1,1,2,1,2,"human1_lib1.final_cell_0037"
"38",115,5,1,2,3,3,1,1,1,4,2,1,1,1,1,1,12,1,2,1,2,1,2,2,1,2,2,"human1_lib1.final_cell_0038"
"39",250,6,3,2,36,12,19,12,1,4,2,1,1,1,1,1,12,1,2,1,2,1,2,2,1,2,4,"human1_lib1.final_cell_0039"
"40",323,83,55,17,41,40,40,18,10,29,21,4,11,20,7,16,16,7,9,4,1,5,11,3,11,10,11,"human1_lib1.final_cell_0040"
"41",430,113,61,67,50,46,38,40,39,27,27,20,2,14,15,17,19,18,18,18,13,14,12,11,10,9,10,"human1_lib1.final_cell_0041"
"42",115,5,1,3,3,3,1,1,2,1,1,3,3,4,3,1,1,1,2,1,2,1,2,2,1,2,2,"human1_lib1.final_cell_0042"
"43",352,88,72,53,40,44,35,45,6,32,21,4,11,20,7,16,16,7,9,4,1,5,11,3,11,10,11,"human1_lib1.final_cell_0043"
"44",148,72,41,32,37,34,30,33,20,13,9,15,18,14,15,12,13,15,14,18,13,14,12,11,10,9,10,"human1_lib1.final_cell_0044"
"45",430,113,12,43,50,46,38,40,39,27,27,20,18,14,15,17,19,18,18,18,13,14,12,11,10,9,10,"human1_lib1.final_cell_0045"
"46",305,113,12,43,50,46,38,40,39,27,27,20,18,14,15,17,19,18,18,18,13,14,12,11,10,9,10,"human1_lib1.final_cell_0046"
"47",107,2,68,57,21,22,10,36,11,18,30,28,15,9,11,8,2,3,11,14,6,8,16,9,8,5,8,"human1_lib1.final_cell_0047"
"48",430,113,12,43,50,46,38,40,39,27,27,20,18,14,15,17,19,18,18,18,13,14,12,11,10,9,10,"human1_lib1.final_cell_0048"
"49",121,83,60,49,41,40,40,18,10,29,21,4,11,20,7,16,16,7,9,4,1,5,11,3,11,10,11,"human1_lib1.final_cell_0049"
"50",32,8,2,1,5,3,1,1,2,1,1,1,5,4,3,1,1,1,2,1,2,6,1,1,2,1,2,"human1_lib1.final_cell_0050"
"51",332,110,67,59,44,37,12,8,6,15,18,4,11,20,7,16,16,7,9,4,1,5,11,3,11,10,11,"human1_lib1.final_cell_0051"
"52",29,8,1,1,3,3,1,1,2,1,1,3,3,4,3,1,1,1,2,1,2,6,2,2,1,1,2,"human1_lib1.final_cell_0052"
"53",118,41,22,22,14,22,24,21,15,18,30,28,15,9,11,8,2,3,11,14,6,8,16,9,8,5,8,"human1_lib1.final_cell_0053"
"54",189,43,4,23,51,1,4,2,3,2,2,1,5,3,2,21,5,2,3,2,5,6,1,1,2,1,2,"human1_lib1.final_cell_0054"
"55",250,6,3,2,5,12,19,12,1,4,2,1,1,1,1,1,12,1,2,1,2,1,2,2,1,2,2,"human1_lib1.final_cell_0055"
"56",305,113,12,43,50,46,38,40,39,27,27,20,18,14,15,17,19,18,18,18,13,14,12,11,10,9,10,"human1_lib1.final_cell_0056"
"57",189,4,2,1,5,12,4,1,3,4,2,1,5,3,2,1,5,2,3,2,5,6,1,1,2,1,2,"human1_lib1.final_cell_0057"
"58",14,4,2,2,5,3,1,1,2,4,1,1,5,4,3,1,1,1,2,1,2,1,2,2,1,2,2,"human1_lib1.final_cell_0058"
"59",34,6,3,2,5,12,19,12,1,4,2,1,5,3,2,1,5,2,3,2,5,6,1,6,5,1,2,"human1_lib1.final_cell_0059"
"60",417,112,16,15,2,11,11,15,1,4,2,2,1,1,1,1,12,1,2,1,2,1,2,2,1,2,4,"human1_lib1.final_cell_0060"
"61",237,87,59,51,45,41,36,20,23,6,22,26,25,19,19,18,17,17,17,16,14,15,14,13,13,13,13,"human1_lib1.final_cell_0061"
"62",11,103,71,60,47,13,48,37,37,21,29,23,24,13,21,11,18,20,19,15,12,13,13,12,12,11,12,"human1_lib1.final_cell_0062"
"63",417,112,16,15,2,11,11,15,1,4,2,2,1,1,1,1,12,1,2,1,2,1,2,2,1,2,4,"human1_lib1.final_cell_0063"
"64",237,87,59,51,45,41,36,20,23,6,22,26,25,19,19,18,17,17,17,16,14,15,14,13,13,13,13,"human1_lib1.final_cell_0064"
"65",6,8,1,3,3,3,1,1,2,1,1,3,3,4,3,1,1,1,2,1,2,1,2,2,1,2,2,"human1_lib1.final_cell_0065"
"66",107,2,68,57,21,22,10,36,11,18,30,28,15,9,11,8,2,3,11,14,6,8,16,9,8,5,8,"human1_lib1.final_cell_0066"
"67",301,49,42,12,34,16,26,17,13,25,13,22,16,13,17,11,10,14,15,11,9,11,13,8,7,6,5,"human1_lib1.final_cell_0067"
"68",29,4,2,1,5,3,1,1,2,4,1,1,5,4,3,1,5,1,2,1,2,6,1,2,1,1,2,"human1_lib1.final_cell_0068"
"69",403,99,64,58,46,50,47,38,41,29,21,11,8,20,7,16,16,7,9,4,1,5,11,3,11,10,11,"human1_lib1.final_cell_0069"
"70",268,56,39,34,33,24,29,27,32,24,13,22,16,13,17,11,10,13,13,11,9,11,7,8,7,6,5,"human1_lib1.final_cell_0070"
"71",417,112,16,15,2,11,11,15,1,4,2,2,1,1,1,1,12,1,2,1,2,1,2,2,1,2,4,"human1_lib1.final_cell_0071"
"72",154,112,16,15,2,11,11,15,1,4,2,2,1,1,1,1,12,1,2,1,2,1,2,2,1,2,4,"human1_lib1.final_cell_0072"
"73",250,6,3,2,36,12,19,12,1,4,2,1,1,1,1,1,12,1,2,1,2,1,2,2,1,2,4,"human1_lib1.final_cell_0073"
"74",340,51,60,49,41,40,40,18,10,29,21,8,11,20,7,16,16,7,9,4,1,5,11,3,11,10,11,"human1_lib1.final_cell_0074"
"75",115,5,1,2,3,3,1,1,2,4,1,3,3,4,3,1,1,1,2,1,2,1,2,2,1,2,2,"human1_lib1.final_cell_0075"
"76",29,4,2,1,5,3,1,1,2,4,1,1,5,4,3,1,5,1,2,1,2,6,1,2,1,1,2,"human1_lib1.final_cell_0076"
"77",364,80,57,61,44,37,14,10,24,15,18,4,11,20,7,16,16,7,9,4,1,5,11,3,11,10,11,"human1_lib1.final_cell_0077"
"78",14,8,1,2,3,3,1,1,2,4,1,3,3,4,3,1,1,1,2,1,2,1,2,2,1,2,2,"human1_lib1.final_cell_0078"
"79",29,8,1,1,3,3,1,1,2,1,1,3,3,4,3,1,1,1,2,1,2,1,2,2,1,2,2,"human1_lib1.final_cell_0079"
"80",427,3,5,5,1,10,4,2,3,2,3,6,5,3,2,21,5,2,3,2,5,6,1,1,2,1,2,"human1_lib1.final_cell_0080"
"81",29,4,2,1,5,3,1,1,2,4,1,1,5,4,3,1,5,1,2,1,2,6,1,2,1,1,2,"human1_lib1.final_cell_0081"
"82",115,5,1,2,3,3,1,1,2,1,1,3,3,4,3,1,1,1,2,1,2,1,2,2,1,2,2,"human1_lib1.final_cell_0082"
"83",29,4,2,1,5,3,1,1,2,4,1,1,5,4,3,1,5,1,2,1,2,6,1,2,1,1,2,"human1_lib1.final_cell_0083"
"84",107,2,68,57,21,22,10,36,11,18,30,28,15,9,11,8,2,3,11,14,6,8,16,9,8,5,8,"human1_lib1.final_cell_0084"
"85",430,113,12,43,50,46,38,40,39,27,27,20,18,14,15,17,19,18,18,18,13,14,12,11,10,9,10,"human1_lib1.final_cell_0085"
"86",364,83,55,17,41,40,40,18,10,32,21,4,11,20,7,16,16,7,9,4,1,5,11,3,11,10,11,"human1_lib1.final_cell_0086"
"87",332,110,67,59,44,37,12,8,6,15,18,4,11,20,7,16,16,7,9,4,1,5,11,3,11,10,11,"human1_lib1.final_cell_0087"
"88",29,8,1,1,3,3,1,1,2,1,1,3,3,4,3,1,1,1,2,1,2,1,2,2,1,2,2,"human1_lib1.final_cell_0088"
"89",417,112,16,15,2,11,11,15,1,4,2,2,1,1,1,1,12,1,2,1,2,1,2,2,1,2,4,"human1_lib1.final_cell_0089"
"90",32,8,2,1,5,3,1,1,2,1,2,1,5,3,2,21,5,2,3,2,5,6,1,1,2,1,2,"human1_lib1.final_cell_0090"
"91",24,8,1,3,3,3,1,1,2,1,1,3,3,4,3,1,1,1,2,1,2,1,2,2,1,2,2,"human1_lib1.final_cell_0091"
"92",115,5,1,2,3,3,1,1,2,4,1,3,3,4,3,1,1,1,2,1,2,1,2,2,1,2,2,"human1_lib1.final_cell_0092"
"93",29,4,2,1,5,3,1,1,2,4,1,1,5,4,3,1,5,1,2,1,2,6,1,1,2,1,2,"human1_lib1.final_cell_0093"
"94",250,6,3,2,36,12,19,12,1,4,2,1,1,1,1,1,12,1,2,1,2,1,2,2,1,2,4,"human1_lib1.final_cell_0094"
"95",29,4,2,1,5,3,1,1,2,4,1,1,5,4,3,1,5,1,2,1,2,6,1,2,1,1,2,"human1_lib1.final_cell_0095"
"96",154,112,16,15,2,11,11,15,1,4,2,2,1,1,1,1,12,1,2,1,2,1,2,2,1,2,4,"human1_lib1.final_cell_0096"
"97",17,3,4,23,51,1,4,2,3,2,2,1,5,3,2,21,5,2,3,2,5,6,1,1,2,1,2,"human1_lib1.final_cell_0097"
"98",366,90,54,48,40,39,12,8,6,15,18,4,11,20,7,16,16,7,9,4,1,5,11,3,11,10,11,"human1_lib1.final_cell_0098"
"99",147,70,47,38,39,17,32,35,33,16,14,8,13,17,14,15,11,12,12,9,1,5,11,6,5,7,11,"human1_lib1.final_cell_0099"
"100",50,3,4,23,51,1,4,2,3,2,2,1,5,3,2,21,5,2,3,2,5,6,1,1,2,1,2,"human1_lib1.final_cell_0100"
"101",36,110,67,59,44,37,12,8,6,15,18,4,11,20,7,16,16,7,9,4,1,5,11,3,11,10,11,"human1_lib1.final_cell_0101"
"102",295,81,42,12,34,16,26,17,12,25,13,23,24,13,13,11,10,14,15,11,9,11,13,8,7,6,12,"human1_lib1.final_cell_0102"
"103",313,49,53,66,47,16,48,37,12,21,13,23,24,13,21,11,10,20,19,11,12,13,13,12,12,11,12,"human1_lib1.final_cell_0103"
"104",364,80,57,61,44,37,14,10,24,15,18,4,11,20,7,16,16,7,9,4,1,5,11,3,11,10,11,"human1_lib1.final_cell_0104"
"105",34,6,3,2,5,12,19,12,1,4,2,1,5,3,2,1,5,2,3,2,5,6,1,2,1,1,2,"human1_lib1.final_cell_0105"
"106",28,3,4,23,51,1,4,2,3,2,2,1,5,3,2,21,5,2,3,2,5,6,1,1,2,1,2,"human1_lib1.final_cell_0106"
"107",250,6,3,2,36,12,19,12,1,4,2,1,1,1,1,1,12,1,2,1,2,1,2,2,1,2,4,"human1_lib1.final_cell_0107"
"108",115,6,3,2,5,12,19,12,1,4,2,1,1,1,1,1,12,1,2,1,2,1,2,2,1,2,2,"human1_lib1.final_cell_0108"
"109",253,36,21,24,24,21,25,31,26,10,17,21,20,15,9,14,9,16,10,13,10,7,9,9,8,5,8,"human1_lib1.final_cell_0109"
"110",376,88,72,53,40,44,35,45,6,32,21,4,11,20,7,16,16,7,9,4,1,5,11,3,11,10,11,"human1_lib1.final_cell_0110"
"111",6,8,1,3,3,3,1,1,2,1,1,3,3,4,3,1,1,1,2,1,2,1,2,2,1,2,2,"human1_lib1.final_cell_0111"
"112",250,6,3,2,36,12,19,12,1,4,2,1,1,1,1,1,12,1,2,1,2,1,2,2,1,2,4,"human1_lib1.final_cell_0112"
"113",10,83,55,17,41,40,40,18,10,32,21,4,11,20,7,16,16,7,9,4,1,5,11,3,11,10,11,"human1_lib1.final_cell_0113"
"114",14,4,2,2,5,3,1,1,2,4,2,1,1,4,1,1,1,1,2,1,2,1,2,2,1,2,2,"human1_lib1.final_cell_0114"
"115",34,6,3,2,5,12,19,12,1,4,2,1,5,3,2,1,5,2,3,2,5,6,1,1,2,1,2,"human1_lib1.final_cell_0115"
"116",17,3,5,5,1,10,4,2,3,2,2,6,5,3,2,21,5,2,3,2,5,6,1,1,2,1,2,"human1_lib1.final_cell_0116"
"117",361,21,64,58,40,50,35,38,41,32,21,11,8,20,7,16,16,7,9,4,1,5,11,3,11,10,11,"human1_lib1.final_cell_0117"
"118",200,98,4,23,51,1,4,2,3,2,2,1,5,3,2,21,5,2,3,2,5,6,1,1,2,1,2,"human1_lib1.final_cell_0118"
"119",217,83,60,49,41,40,40,18,10,29,21,4,11,20,7,16,16,7,9,4,1,5,11,3,11,10,11,"human1_lib1.final_cell_0119"
"120",15,3,5,5,1,10,4,2,3,2,2,6,5,3,2,21,5,2,3,2,5,6,1,1,2,1,2,"human1_lib1.final_cell_0120"
