"","Rsec","RsecT","cells"
"1",-1,1,"human1_lib1.final_cell_0001"
"2",-1,1,"human1_lib1.final_cell_0002"
"3",-1,1,"human1_lib1.final_cell_0003"
"4",-1,1,"human1_lib1.final_cell_0004"
"5",-1,1,"human1_lib1.final_cell_0005"
"6",-1,1,"human1_lib1.final_cell_0006"
"7",-1,8,"human1_lib1.final_cell_0007"
"8",-1,1,"human1_lib1.final_cell_0008"
"9",-1,9,"human1_lib1.final_cell_0009"
"10",-1,1,"human1_lib1.final_cell_0010"
"11",-1,1,"human1_lib1.final_cell_0011"
"12",-1,1,"human1_lib1.final_cell_0012"
"13",-1,8,"human1_lib1.final_cell_0013"
"14",-1,8,"human1_lib1.final_cell_0014"
"15",-1,8,"human1_lib1.final_cell_0015"
"16",3,3,"human1_lib1.final_cell_0016"
"17",-1,8,"human1_lib1.final_cell_0017"
"18",-1,1,"human1_lib1.final_cell_0018"
"19",12,12,"human1_lib1.final_cell_0019"
"20",-1,8,"human1_lib1.final_cell_0020"
"21",-1,8,"human1_lib1.final_cell_0021"
"22",-1,8,"human1_lib1.final_cell_0022"
"23",-1,12,"human1_lib1.final_cell_0023"
"24",-1,8,"human1_lib1.final_cell_0024"
"25",-1,8,"human1_lib1.final_cell_0025"
"26",-1,8,"human1_lib1.final_cell_0026"
"27",-1,8,"human1_lib1.final_cell_0027"
"28",-1,11,"human1_lib1.final_cell_0028"
"29",-1,9,"human1_lib1.final_cell_0029"
"30",-1,8,"human1_lib1.final_cell_0030"
"31",-1,7,"human1_lib1.final_cell_0031"
"32",-1,7,"human1_lib1.final_cell_0032"
"33",-1,7,"human1_lib1.final_cell_0033"
"34",-1,7,"human1_lib1.final_cell_0034"
"35",-1,8,"human1_lib1.final_cell_0035"
"36",-1,1,"human1_lib1.final_cell_0036"
"37",-1,8,"human1_lib1.final_cell_0037"
"38",-1,8,"human1_lib1.final_cell_0038"
"39",-1,8,"human1_lib1.final_cell_0039"
"40",-1,7,"human1_lib1.final_cell_0040"
"41",3,3,"human1_lib1.final_cell_0041"
"42",-1,8,"human1_lib1.final_cell_0042"
