"","0.3,30","0.3,50","0.3,100","0.4,30","0.4,50","0.4,100","0.5,30","0.5,50","0.5,100","0.6,30","0.6,50","0.6,100","0.7,30","0.7,50","0.7,100","0.8,30","0.8,50","0.8,100","0.9,30","0.9,50","0.9,100","1,30","1,50","1,100","1.1,30","1.1,50","1.1,100","1.2,30","1.2,50","1.2,100","1.3,30","1.3,50","1.3,100","1.4,30","1.4,50","1.4,100","1.5,30","1.5,50","1.5,100","1.6,30","1.6,50","1.6,100","1.7,30","1.7,50","1.7,100","1.8,30","1.8,50","1.8,100","1.9,30","1.9,50","1.9,100","2,30","2,50","2,100","2.1,30","2.1,50","2.1,100","2.2,30","2.2,50","2.2,100","2.3,30","2.3,50","2.3,100","2.4,30","2.4,50","2.4,100","2.5,30","2.5,50","2.5,100","cells"
"human1_lib1.final_cell_0001",3,4,5,3,3,5,11,4,9,12,4,9,13,3,9,13,2,10,13,2,10,14,14,10,14,14,10,14,14,10,13,14,10,13,18,10,13,20,10,13,20,12,13,20,13,13,20,5,13,20,5,17,20,5,17,20,6,18,20,6,18,20,6,19,20,6,19,22,7,"human1_lib1.final_cell_0001"
"human1_lib1.final_cell_0002",3,4,5,3,3,5,11,4,9,12,4,9,13,3,9,13,2,10,13,2,10,14,14,10,14,14,10,14,14,10,13,14,10,13,18,10,13,20,10,13,20,12,13,20,13,13,20,5,13,20,5,17,20,5,17,20,6,18,20,6,18,20,6,19,20,6,19,22,7,"human1_lib1.final_cell_0002"
"human1_lib1.final_cell_0003",3,4,5,3,3,5,11,4,9,12,4,9,13,3,9,13,2,10,13,2,10,14,14,10,14,14,10,14,14,10,13,14,10,13,18,10,13,20,10,13,20,12,13,20,13,13,20,5,13,20,5,17,20,5,17,20,6,18,20,6,18,20,6,19,20,6,19,22,7,"human1_lib1.final_cell_0003"
"human1_lib1.final_cell_0004",3,4,5,3,3,5,11,4,9,12,4,9,13,3,9,13,2,10,13,2,10,14,14,10,14,14,10,14,14,10,13,14,10,13,18,10,13,20,10,13,20,12,13,20,13,13,20,5,13,20,5,17,20,5,17,20,6,18,20,6,18,20,6,19,20,6,19,22,7,"human1_lib1.final_cell_0004"
"human1_lib1.final_cell_0005",3,4,5,3,3,5,11,4,9,12,4,9,13,3,9,13,2,10,13,2,10,14,14,10,14,14,10,14,14,10,13,14,10,13,18,10,13,20,10,13,20,12,13,20,13,13,20,5,13,20,5,17,20,5,17,20,6,18,20,6,18,20,6,19,20,6,19,22,7,"human1_lib1.final_cell_0005"
"human1_lib1.final_cell_0006",3,4,5,3,3,5,11,4,9,12,4,9,13,3,9,13,2,10,13,2,10,14,14,10,14,14,10,14,14,10,13,14,10,13,18,10,13,20,10,13,20,12,13,20,13,13,20,5,13,20,5,17,20,5,17,20,6,18,20,6,18,20,6,19,20,6,19,22,7,"human1_lib1.final_cell_0006"
"human1_lib1.final_cell_0007",5,1,1,5,6,1,6,6,7,5,6,7,4,4,7,4,3,8,4,3,8,3,3,8,3,3,11,3,3,11,3,3,11,3,3,11,3,3,11,3,3,13,3,3,15,3,3,15,3,3,15,3,3,15,3,3,13,2,3,13,2,3,13,1,3,13,1,2,2,"human1_lib1.final_cell_0007"
"human1_lib1.final_cell_0008",3,4,5,3,3,5,11,4,9,12,4,9,13,3,9,13,2,10,13,2,10,14,14,10,14,14,10,14,14,10,13,14,10,13,18,10,13,20,10,13,20,12,13,20,13,13,20,5,13,20,5,17,20,5,17,20,6,18,20,6,18,20,6,19,20,6,19,22,7,"human1_lib1.final_cell_0008"
"human1_lib1.final_cell_0009",3,4,5,3,3,5,11,4,9,12,4,9,13,3,9,13,2,10,13,2,10,14,14,10,14,14,10,14,14,10,13,14,10,13,18,10,13,20,10,13,20,12,13,20,13,13,20,5,13,20,5,17,20,5,17,20,6,18,20,6,18,20,6,19,20,6,19,22,7,"human1_lib1.final_cell_0009"
"human1_lib1.final_cell_0010",3,4,5,3,3,5,11,4,9,12,4,9,13,3,9,13,2,10,13,2,10,14,14,10,14,14,10,14,14,10,13,14,10,13,18,10,13,20,10,13,20,12,13,20,13,13,20,5,13,20,5,17,20,5,17,20,6,18,20,6,18,20,6,19,20,6,19,22,7,"human1_lib1.final_cell_0010"
"human1_lib1.final_cell_0011",3,4,5,3,3,5,11,4,9,12,4,9,13,3,9,13,2,10,13,2,10,14,14,10,14,14,10,14,14,10,13,14,10,13,18,10,13,20,10,13,20,12,13,20,13,13,20,5,13,20,5,17,20,5,17,20,6,18,20,6,18,20,6,19,20,6,19,22,7,"human1_lib1.final_cell_0011"
"human1_lib1.final_cell_0012",3,4,5,3,3,5,11,4,9,12,4,9,13,3,9,13,2,10,13,2,10,14,14,10,14,14,10,14,14,10,13,14,10,13,18,10,13,20,10,13,20,12,13,20,13,13,20,5,13,20,5,17,20,5,17,20,6,18,20,6,18,20,6,19,20,6,19,22,7,"human1_lib1.final_cell_0012"
"human1_lib1.final_cell_0013",7,6,7,7,7,8,7,7,11,7,7,11,6,6,11,6,6,12,6,5,12,5,6,12,5,6,13,5,5,13,5,6,13,5,6,13,5,6,13,5,5,15,5,5,16,5,5,16,6,6,16,5,6,16,5,6,16,5,6,16,5,6,16,5,6,16,5,5,16,"human1_lib1.final_cell_0013"
