"","k_2","k_3","k_4","k_5","k_6","k_7","k_8","k_9","k_10","k_15","k_20","k_25","k_30","k_35","k_40","k_45","k_50","k_55","k_60","k_65","k_70","k_75","k_80","k_85","k_90","k_95","k_100","cells"
"1",7,80,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_A1"
"2",148,67,17,45,16,56,53,10,2,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_A10"
"3",7,80,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_A11"
"4",1,67,17,45,16,56,53,10,2,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_A12"
"5",148,67,17,45,16,56,53,10,2,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_A2"
"6",225,113,79,64,62,50,45,45,43,28,7,6,24,18,26,25,17,22,14,12,11,9,18,15,15,15,1,"AZ_A3"
"7",148,67,17,45,16,56,53,10,2,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_A4"
"8",6,67,17,45,16,56,53,10,2,1,13,3,11,13,27,13,9,10,10,2,1,15,14,1,1,1,4,"AZ_A5"
"9",2,1,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_A6"
"10",4,4,1,2,1,2,6,8,7,4,1,1,15,24,13,19,12,8,8,9,10,10,10,10,10,11,11,"AZ_A7"
"11",3,2,3,45,16,56,53,10,2,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_A8"
"12",1,67,17,45,16,56,53,10,2,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_A9"
"13",1,67,17,45,16,56,53,10,2,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_B1"
"14",1,67,17,45,16,56,53,10,2,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_B10"
"15",2,1,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_B11"
"16",2,1,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_B12"
"17",2,1,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_B2"
"18",2,1,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_B3"
"19",210,100,17,45,41,56,53,10,2,1,13,3,11,13,27,13,9,10,10,2,1,1,3,2,2,15,1,"AZ_B4"
"20",2,1,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_B5"
"21",7,80,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_B6"
"22",56,66,88,23,41,36,46,51,11,3,5,19,11,13,27,13,9,10,10,2,1,1,3,2,2,15,1,"AZ_B7"
"23",4,4,1,2,1,2,6,8,7,4,1,1,15,24,13,19,12,8,8,9,10,10,10,10,10,11,11,"AZ_B8"
"24",2,1,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_B9"
"25",2,1,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_C1"
"26",3,2,3,45,16,56,53,10,2,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_C10"
"27",1,67,17,45,16,56,53,10,2,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_C11"
"28",51,27,18,9,9,9,16,51,11,3,5,19,11,13,27,13,9,10,10,2,1,1,3,2,2,15,1,"AZ_C12"
"29",2,1,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_C2"
"30",4,4,1,2,1,2,6,8,7,4,1,1,15,24,13,19,12,8,8,9,10,10,10,10,10,11,11,"AZ_C3"
"31",3,2,3,45,16,56,53,10,2,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_C4"
"32",2,1,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_C5"
"33",7,80,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_C6"
"34",210,100,17,45,41,56,53,10,2,1,13,3,11,13,27,13,9,10,10,2,1,1,3,2,2,15,1,"AZ_C7"
"35",2,1,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_C8"
"36",4,4,1,2,1,2,6,8,7,4,1,1,15,24,13,19,12,8,8,9,10,10,10,10,10,11,11,"AZ_C9"
"37",7,80,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_D1"
"38",111,88,36,32,52,49,34,37,32,36,13,32,29,26,8,10,17,22,14,12,11,9,18,15,15,15,1,"AZ_D10"
"39",210,100,17,45,41,56,53,10,2,1,13,3,11,13,27,13,9,10,10,2,1,1,3,2,2,15,1,"AZ_D11"
"40",148,67,17,45,16,56,53,10,2,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_D12"
"41",3,2,3,45,16,56,53,10,2,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_D2"
"42",2,1,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_D3"
"43",2,1,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_D4"
"44",1,67,17,45,16,56,53,10,2,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_D5"
"45",5,3,3,45,16,56,53,10,2,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_D6"
"46",2,1,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_D7"
"47",148,67,17,45,16,56,53,10,2,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_D8"
"48",2,1,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_D9"
"49",111,88,36,32,52,49,34,37,32,36,13,32,29,26,8,10,17,22,14,12,11,9,18,15,15,15,1,"AZ_E1"
"50",7,80,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_E10"
"51",225,113,79,64,62,50,45,45,43,28,7,6,24,18,26,25,17,22,14,12,11,9,18,15,15,15,1,"AZ_E11"
"52",2,1,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_E12"
"53",2,1,2,1,2,1,1,1,1,1,2,28,21,23,19,6,9,15,15,15,13,15,14,1,1,1,4,"AZ_E2"
"54",124,99,89,53,68,61,40,42,40,30,25,24,13,14,10,11,5,6,5,7,8,5,6,5,5,4,7,"AZ_E3"
