"","0.3,30","0.3,50","0.3,100","0.4,30","0.4,50","0.4,100","0.5,30","0.5,50","0.5,100","0.6,30","0.6,50","0.6,100","0.7,30","0.7,50","0.7,100","0.8,30","0.8,50","0.8,100","0.9,30","0.9,50","0.9,100","1,30","1,50","1,100","1.1,30","1.1,50","1.1,100","1.2,30","1.2,50","1.2,100","1.3,30","1.3,50","1.3,100","1.4,30","1.4,50","1.4,100","1.5,30","1.5,50","1.5,100","1.6,30","1.6,50","1.6,100","1.7,30","1.7,50","1.7,100","1.8,30","1.8,50","1.8,100","1.9,30","1.9,50","1.9,100","2,30","2,50","2,100","2.1,30","2.1,50","2.1,100","2.2,30","2.2,50","2.2,100","2.3,30","2.3,50","2.3,100","2.4,30","2.4,50","2.4,100","2.5,30","2.5,50","2.5,100","cells"
"AZ_A1",8,4,2,9,3,6,7,3,6,7,8,5,7,9,4,7,8,7,6,7,7,5,6,7,5,6,6,5,6,6,5,7,6,5,6,6,5,6,6,5,6,6,5,12,6,5,12,5,5,11,6,5,12,12,5,12,12,5,12,12,5,12,12,5,11,12,5,12,12,"AZ_A1"
"AZ_A10",7,4,2,8,3,5,10,3,5,10,13,10,13,14,10,15,13,7,14,13,7,14,13,7,14,13,12,14,13,12,14,13,12,23,13,6,23,13,12,23,13,6,23,13,6,23,13,5,24,11,6,24,13,12,25,13,12,25,13,12,25,13,12,25,11,12,25,11,12,"AZ_A10"
"AZ_A11",3,5,5,3,4,4,3,4,4,11,3,4,3,2,5,13,2,4,13,19,4,13,19,3,13,19,2,13,19,2,13,19,2,13,19,2,13,25,2,13,24,2,13,25,2,13,25,2,27,25,20,27,25,20,28,26,19,28,26,19,29,26,19,29,27,19,30,27,19,"AZ_A11"
"AZ_A12",7,4,2,8,3,5,11,3,5,12,13,10,13,14,10,15,13,7,14,13,7,14,13,7,14,13,12,14,13,12,14,13,12,14,13,6,14,13,12,15,13,6,15,13,6,15,13,5,13,11,6,13,13,12,21,13,12,22,13,12,21,13,12,21,11,12,22,11,12,"AZ_A12"
"AZ_A2",5,8,2,6,7,5,10,7,5,10,5,7,10,4,6,10,4,6,10,22,6,10,22,6,10,22,5,10,22,5,9,22,5,23,22,5,23,22,5,23,22,5,23,23,5,23,23,4,24,23,4,24,23,4,25,23,4,25,23,4,25,23,4,25,24,4,25,24,4,"AZ_A2"
"AZ_A3",7,4,2,8,3,5,16,3,5,16,9,10,18,10,10,18,13,7,14,13,7,14,13,7,14,13,12,14,13,12,14,13,12,19,13,6,19,13,12,19,13,6,19,13,6,19,13,5,19,11,6,19,13,12,19,13,12,19,13,12,19,13,12,19,11,12,19,11,12,"AZ_A3"
"AZ_A4",8,4,2,9,3,6,7,3,6,7,8,5,7,9,4,7,8,7,6,7,7,5,6,7,5,6,6,5,6,6,5,7,6,5,6,6,5,6,6,5,6,6,5,12,6,5,12,5,5,11,6,5,12,12,5,12,12,5,12,12,5,12,12,5,11,12,5,12,12,"AZ_A4"
"AZ_A5",1,1,1,5,1,1,5,2,1,5,2,1,5,5,1,5,5,1,5,4,2,4,5,12,4,5,10,4,5,11,4,6,10,4,5,11,4,5,11,4,5,10,4,5,10,4,5,10,4,5,10,4,5,9,4,4,11,4,4,11,4,4,11,4,4,11,4,4,11,"AZ_A5"
"AZ_A6",12,12,5,13,13,4,14,13,4,11,15,4,15,16,5,13,18,4,13,17,4,13,17,3,13,17,2,13,17,2,13,17,2,13,17,2,13,17,2,13,17,2,13,17,2,13,17,2,16,17,2,17,17,2,15,17,2,16,17,2,15,17,2,16,17,2,16,17,2,"AZ_A6"
"AZ_A7",6,7,7,7,8,8,6,8,8,6,6,8,6,6,7,6,6,9,7,5,9,7,8,9,7,8,8,7,8,8,11,4,8,10,8,8,10,7,8,10,8,8,10,6,8,10,6,8,10,6,8,10,4,7,10,5,7,10,5,7,10,5,7,10,14,7,10,14,7,"AZ_A7"
